OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN
6,14509006,Runc309006,mit Block- und Geschiebestreu
1,14509001,Runc309001,mit Löss
7,14509007,Runc309007,mit Blockschutt vermischt
11,14509011,Runc309011,mit jurassischen Geröllen
2,14509002,Runc309002,mit Lösslehm
8,14509008,Runc309008,mit Hangschutt vermischt
12,14509012,Runc309012,mit Geröllen aus Vogesen / Schwarzwald
4,14509004,Runc309004,mit Blöcken
5,14509005,Runc309005,mit alpinen Geröllen
10,14509010,Runc309010,mit Torf
3,14509003,Runc309003,mit Seekreide
9,14509009,Runc309009,mit Verwitterungsschutt vermischt
1292,14509013,Runc309013,mit Schieferkohle
