OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
112,15102012,Vlit402012,Dolomitsandstein,4.0,15102009.0
310,15104421,Vlit404421,Metaessexit,4.0,15104095.0
319,15104430,Vlit404430,Metalamprophyr,4.0,15104095.0
206,15103016,Vlit403016,Norit,4.0,15103005.0
332,15104444,Vlit404444,metamorph überprägtes pyroklastisches Gestein,4.0,15104095.0
381,15104061,Vlit404061,Bänderamphibolit,4.0,15104041.0
404,15104089,Vlit404089,Chloritit,3.0,15104084.0
393,15104076,Vlit404076,Metatexit mit Fleckentextur,4.0,15104074.0
293,15104404,Vlit404404,Metaalkalogranit,4.0,15104095.0
224,15103035,Vlit403035,Dolerit,4.0,15103026.0
286,15104216,Vlit404216,dolomitischer Marmor,4.0,15104093.0
242,15103057,Vlit403057,Kristalltuff,4.0,15103053.0
76,15101071,Vlit401071,Auffüllung,4.0,15101069.0
37,15101053,Vlit401053,"Torfmoor, Torf",3.0,15101050.0
13,15101009,Vlit401009,Hangschutt,3.0,15101003.0
28,15101049,Vlit401049,detritische Verlandungsbildung,3.0,15101044.0
61,15101030,Vlit401030,randglazialer Schotter,4.0,15101028.0
178,15102102,Vlit402102,Lithothamniensandstein,4.0,15102009.0
154,15102063,Vlit402063,"phosphoritreiches Gestein, undifferenziert",4.0,15102032.0
91,15102032,Vlit402032,"biogenes / biochemisches / organisches Sedimentgestein, undifferenziert",2.0,15102001.0
157,15102066,Vlit402066,phosphoritreicher Mergelstein,4.0,15102063.0
326,15104437,Vlit404437,Metaquarzandesit,4.0,15104095.0
374,15104054,Vlit404054,Kalksilikatfels,4.0,15104053.0
116,15102016,Vlit402016,Arkose,4.0,15102009.0
70,15101041,Vlit401041,Bachschutt,4.0,15101039.0
122,15102022,Vlit402022,Muschelsandstein,4.0,15102009.0
137,15102041,Vlit402041,Kalkbrekzie,4.0,15102034.0
383,15104063,Vlit404063,Amphibolitgneis,4.0,15104041.0
74,15101069,Vlit401069,"künstliche Ablagerung, undifferenziert",3.0,15101067.0
158,15102070,Vlit402070,"Evaporit, undifferenziert",3.0,15102068.0
75,15101070,Vlit401070,"Aufschüttung, Damm",4.0,15101069.0
366,15104045,Vlit404045,Zweiglimmergneis,4.0,15104041.0
282,15104212,Vlit404212,Metasiltstein,4.0,15104093.0
394,15104077,Vlit404077,Metatexit mit stromatitischer Textur,4.0,15104074.0
245,15103061,Vlit403061,tuffitische Brekzie,4.0,15103060.0
173,15102092,Vlit402092,"pedogenes Karbonat, undifferenziert",3.0,15102080.0
216,15103027,Vlit403027,Mikrogranit,4.0,15103026.0
32,15101058,Vlit401058,Seebodensediment,3.0,15101044.0
65,15101034,Vlit401034,Stauschotter,4.0,15101028.0
358,15104036,Vlit404036,Glaukophanschiefer,4.0,15104031.0
