OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
1,15102001.0,Vlit402001,Sedimentgestein,1.0,0.0
315,15104079.0,Vlit404079,Diatexit mit nebulitischer Textur,4.0,15104074.0
271,15104029.0,Vlit404029,Phyllit,3.0,15104027.0
131,15103022.0,Vlit403022,nephelinitischer Syenit,4.0,15103005.0
265,15104018.0,Vlit404018,"Mylonit, undifferenziert",3.0,15104002.0
89,15102088.0,Vlit402088,Huppererde,4.0,15102086.0
124,15103015.0,Vlit403015,Gabbro,4.0,15103005.0
244,15104436.0,Vlit404436,Metadazit,4.0,15104095.0
311,15104075.0,Vlit404075,Migmatit,4.0,15104074.0
241,15104433.0,Vlit404433,Metaalkalirhyolith,4.0,15104095.0
141,15103033.0,Vlit403033,Lamprophyr,4.0,15103026.0
240,15104432.0,Vlit404432,Metadolerit,4.0,15104095.0
110,15103037.0,Vlit403037,"Extrusivgestein, undifferenziert",2.0,15103001.0
293,15104054.0,Vlit404054,Kalksilikatfels,4.0,15104053.0
54,15102039.0,Vlit402039,Rudit,4.0,15102034.0
223,15104415.0,Vlit404415,Metamonzodiorit,4.0,15104095.0
220,15104412.0,Vlit404412,Metaquarzgabbro,4.0,15104095.0
98,15102103.0,Vlit402103,Eisensandstein,4.0,15102032.0
122,15103013.0,Vlit403013,Alkalisyenit,4.0,15103005.0
270,15104025.0,Vlit404025,Pseudotachylit,3.0,15104002.0
33,15102014.0,Vlit402014,mergeliger Sandstein,4.0,15102009.0
60,15102045.0,Vlit402045,"biogener Kalkstein, undifferenziert",4.0,15102034.0
282,15104042.0,Vlit404042,Augengneis,4.0,15104041.0
42,15102024.0,Vlit402024,"Pelit, undifferenziert",3.0,15102003.0
219,15104411.0,Vlit404411,Metaalkalisyenit,4.0,15104095.0
295,15104056.0,Vlit404056,Karbonat- und Silikat führendes Gestein,4.0,15104053.0
103,15102108.0,Vlit402108,eisenschüssiger Kalk,3.0,15102032.0
213,15104405.0,Vlit404405,Metagranit,4.0,15104095.0
225,15104417.0,Vlit404417,Metamonzonit,4.0,15104095.0
288,15104048.0,Vlit404048,Paragneis,4.0,15104041.0
253,15104446.0,Vlit404446,Metavulkanit,4.0,15104095.0
31,15102012.0,Vlit402012,Dolomitsandstein,4.0,15102009.0
297,15104058.0,Vlit404058,Granulit,4.0,15104053.0
118,15103009.0,Vlit403009,Quarzdiorit,4.0,15103005.0
161,15103057.0,Vlit403057,Kristalltuff,4.0,15103053.0
49,15102034.0,Vlit402034,"Kalkstein, undifferenziert",4.0,15102032.0
197,15104208.0,Vlit404208,Metaarkose,4.0,15104093.0
88,15102087.0,Vlit402087,Boluston,4.0,15102086.0
38,15102019.0,Vlit402019,Glimmersandstein,4.0,15102009.0
37,15102018.0,Vlit402018,Geröll führender Sandstein,4.0,15102009.0
102,15102107.0,Vlit402107,Mergelkalk,4.0,15102034.0
194,15104205.0,Vlit404205,Metasandstein,4.0,15104093.0
310,15104074.0,Vlit404074,"Anatexit, undifferenziert",3.0,15104027.0
47,15102029.0,Vlit402029,Kalkmergelstein,4.0,15102024.0
20,15102080.0,Vlit402080,"Residualgestein / pedogen überprägtes Gestein, undifferenziert",2.0,15102001.0
140,15103032.0,Vlit403032,Mikrogabbro,4.0,15103026.0
217,15104409.0,Vlit404409,Metadiorit,4.0,15104095.0
6,15102003.0,Vlit402003,"klastisches Sedimentgestein, undifferenziert",2.0,15102001.0
41,15102022.0,Vlit402022,Muschelsandstein,4.0,15102009.0
39,15102020.0,Vlit402020,Glaukonitsandstein,4.0,15102009.0
58,15102043.0,Vlit402043,Nummulitenkalk,4.0,15102034.0
308,15104071.0,Vlit404071,Greisen,4.0,15104069.0
316,15104080.0,Vlit404080,Diatexit mit Schlierentextur,4.0,15104074.0
48,15102030.0,Vlit402030,Schlammstein,4.0,15102024.0
320,15104086.0,Vlit404086,Hornblenditit,3.0,15104084.0
155,15103050.0,Vlit403050,Phonolith,4.0,15103039.0
75,15102065.0,Vlit402065,phosphoritreicher Kalkstein,4.0,15102063.0
214,15104406.0,Vlit404406,Metagranodiorit,4.0,15104095.0
262,15104014.0,Vlit404014,Protokataklasit,4.0,15104010.0
74,15102064.0,Vlit402064,phosphoritreicher Sandstein,4.0,15102063.0
216,15104408.0,Vlit404408,Metatonalit,4.0,15104095.0
167,15103064.0,Vlit403064,tuffitischer Siltstein,4.0,15103060.0
229,15104421.0,Vlit404421,Metaessexit,4.0,15104095.0
139,15103031.0,Vlit403031,Mikrodiorit,4.0,15103026.0
80,15102073.0,Vlit402073,Steinsalz,4.0,15102070.0
303,15104064.0,Vlit404064,Eklogit,4.0,15104053.0
222,15104414.0,Vlit404414,Metanorit,4.0,15104095.0
221,15104413.0,Vlit404413,Metagabbro,4.0,15104095.0
93,15102093.0,Vlit402093,Caliche,4.0,15102092.0
91,15102090.0,Vlit402090,Silcrete,4.0,15102086.0
17,15102068.0,Vlit402068,"chemisches Sedimentgestein, undifferenziert",2.0,15102001.0
257,15104008.0,Vlit404008,tektonische Brekzie (kohäsionslos),4.0,15104005.0
198,15104209.0,Vlit404209,Metagrauwacke,4.0,15104093.0
256,15104007.0,Vlit404007,Kluftletten,4.0,15104005.0
319,15104085.0,Vlit404085,Biotitit,3.0,15104084.0
59,15102044.0,Vlit402044,Aptychenkalk,4.0,15102034.0
40,15102021.0,Vlit402021,Nummulitensandstein,4.0,15102009.0
27,15102007.0,Vlit402007,Konglomerat,4.0,15102005.0
272,15104031.0,Vlit404031,"Schiefer, undifferenziert",3.0,15104027.0
160,15103056.0,Vlit403056,Lapillituff,4.0,15103053.0
158,15103054.0,Vlit403054,Ignimbrit,4.0,15103053.0
45,15102027.0,Vlit402027,Mergelstein,4.0,15102024.0
94,15102094.0,Vlit402094,Krustenkalk,4.0,15102092.0
85,15102082.0,Vlit402082,Bohnerz,3.0,15102080.0
65,15102052.0,Vlit402052,Radiolarit,4.0,15102051.0
63,15102049.0,Vlit402049,Dolomit,3.0,15102032.0
226,15104418.0,Vlit404418,Metapyroxenit,4.0,15104095.0
79,15102072.0,Vlit402072,Gips,4.0,15102070.0
291,15104051.0,Vlit404051,Kinzigit,4.0,15104041.0
210,15104402.0,Vlit404402,metamorph überprägtes Intrusivgestein,4.0,15104095.0
252,15104445.0,Vlit404445,Metaignimbrit,4.0,15104095.0
215,15104407.0,Vlit404407,Metaquarzdiorit,4.0,15104095.0
324,15104090.0,Vlit404090,Serpentinit,3.0,15104084.0
250,15104443.0,Vlit404443,Metaphonolit,4.0,15104095.0
191,15104202.0,Vlit404202,Metapsephit,4.0,15104093.0
313,15104077.0,Vlit404077,Metatexit mit stromatitischer Textur,4.0,15104074.0
287,15104047.0,Vlit404047,Leptinit,4.0,15104041.0
260,15104012.0,Vlit404012,tektonische Dolomitbrekzie,4.0,15104010.0
166,15103063.0,Vlit403063,tuffitischer Sandstein,4.0,15103060.0
203,15104214.0,Vlit404214,Metamergel,4.0,15104093.0
