OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
1,15200254,Vlit500254,Molasse,1.0,0.0
3135,15202418,Vlit502418,Rauwacke (Röti-Fm.),3.0,15202139.0
3240,15205080,Vlit505080,San-Bernardo-Gneis,3.0,15205079.0
733,15203008,Vlit503008,Forclaz-Member,2.0,15203006.0
308,15200201,Vlit500201,Untere Acuminata-Schichten,5.0,15200382.0
243,15200105,Vlit500105,Villigen-Formation,4.0,15200160.0
1177,15203293,Vlit503293,Trepsen-Flysch,2.0,15203283.0
354,15200206,Vlit500206,Seebi-Member,4.0,15200126.0
742,15203238,Vlit503238,Buufal-Konglomerat,2.0,15203016.0
465,15202020,Vlit502020,Niederhorn-Formation,2.0,15202012.0
449,15202011,Vlit502011,Taveyannaz-Formation,3.0,15202005.0
1327,15200533,Vlit500533,Schwändibach-Naglelfuh,4.0,15200335.0
948,15203204,Vlit503204,Wissberg-Brekzie,2.0,15203203.0
1168,15203284,Vlit503284,"Flysch 5, mit kieseligen Mikrokonglomeraten",2.0,15203110.0
1009,15204029,Vlit504029,Alplihorn-Member,2.0,15204024.0
3152,15202435,Vlit502435,Planière-Member,4.0,15202432.0
799,15203072,Vlit503072,Steinberg-Konglomerat,4.0,15203071.0
293,15200057,Vlit500057,Spatkalk,5.0,15200380.0
1024,15204044,Vlit504044,Stugl-Member,3.0,15204039.0
628,15202179,Vlit502179,Düssi-Diorit,2.0,15202177.0
1289,15200495,Vlit500495,Tannenwald-Schichten,3.0,15200255.0
838,15203108,Vlit503108,Untere Kalke,2.0,15203107.0
863,15203244,Vlit503244,Lamperehubel-Sandstein,2.0,15203133.0
518,15202073,Vlit502073,Schrattenkalk-Formation,2.0,15202047.0
41,15200294,Vlit500294,Meilen-Kalk,4.0,15200290.0
81,15200410,Vlit500410,Goldbrunnen-Schichten,5.0,15200309.0
683,15202232,Vlit502232,Borel-Gneiskomplex,2.0,15202231.0
3086,15202369,Vlit502369,Nufenen-Granatschiefer,3.0,15202120.0
1005,15204025,Vlit504025,Zirmenkopf-Kalk,2.0,15204024.0
3083,15202366,Vlit502366,Termen-Kalkschiefer,3.0,15202120.0
212,15200001,Vlit500001,Twannbach-Formation,3.0,15200012.0
15,15200268,Vlit500268,Höchegg-Brekzie,6.0,15200267.0
133,15200343,Vlit500343,Elsässer Molasse s.s.,4.0,15200341.0
108,15200323,Vlit500323,Scheidegg-Nagelfluh,4.0,15200335.0
456,15202013,Vlit502013,Stad-Formation,2.0,15202012.0
556,15202110,Vlit502110,Bannalp-Konglomerat,4.0,15202108.0
753,15203027,Vlit503027,Rote-Platte-Formation,2.0,15203018.0
247,15200109,Vlit500109,Küssaburg-Member,5.0,15200105.0
1155,15203271,Vlit503271,Kummli-Schichten,2.0,15203038.0
1032,15204052,Vlit504052,Parai-Alba-Member,2.0,15204051.0
3146,15202429,Vlit502429,Villarbeney-Formation,2.0,15202047.0
1038,15204058,Vlit504058,Landwasser-Member,2.0,15204054.0
21,15200274,Vlit500274,Glimmersandstein-Formation,4.0,15200262.0
405,15200232,Vlit500232,Malsburg-Granit,2.0,15200230.0
1190,15202311,Vlit502311,Isentobel-Komplex,3.0,15202308.0
483,15202038,Vlit502038,Einsiedeln-Member,3.0,15202036.0
3129,15202412,Vlit502412,«Obere Zementsteinschichten»,3.0,15202093.0
1331,15200537,Vlit500537,Gérignoz-Formation,4.0,15200335.0
398,15200159,Vlit500159,Weiach-Formation,2.0,15200221.0
1128,15205067,Vlit505067,Andesit und Dazit,2.0,15205065.0
619,15202170,Vlit502170,Lakustrisches Member,3.0,15202169.0
132,15200379,Vlit500379,Elsässer-Molasse s.l.,3.0,15200314.0
368,15200134,Vlit500134,Kienberg-Member,4.0,15200130.0
296,15200059,Vlit500059,Movelier-Schichten,5.0,15200380.0
1316,15200522,Vlit500522,Pfingstboden-Member,5.0,15200316.0
1269,15200475,Vlit500475,Oberjura-Massenkalk-Formation,3.0,15200012.0
684,15202233,Vlit502233,Tenelin-Gneiskomplex,2.0,15202231.0
1115,15205054,Vlit505054,Kalkschieferzone,2.0,15205053.0
182,15200438,Vlit500438,La-Presta-Mergel,4.0,15200181.0
711,15202260,Vlit502260,Granitischer Gneis der Ausserberg-Avat-Zone,2.0,15202258.0
40,15200293,Vlit500293,Degersheim-Kalknagelfluh,4.0,15200290.0
497,15202052,Vlit502052,Garschella-Formation,2.0,15202047.0
3059,15200577,Vlit500577,Amaltheenton-Formation,3.0,15200056.0
884,15203151,Vlit503151,Vaduz-Flysch,3.0,15203149.0
513,15202068,Vlit502068,Luitere-Bank,4.0,15202064.0
3244,15205084,Vlit505084,Ceneri-Gneis,3.0,15205081.0
439,15202286,Vlit502286,Lavtina-Sandstein,3.0,15202004.0
1333,15200539,Vlit500539,Wintersberg-Member,5.0,15200319.0
