OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
2,15201182,Vlit501182,Juraschotter,1.0,0.0
3,15201183,Vlit501183,Alte Doubsschotter,1.0,0.0
5,15201185,Vlit501185,Merenbach-Schotter,1.0,0.0
6,15201186,Vlit501186,Malmkalk-Schotter der Randen-Täler,1.0,0.0
129,15201073,Vlit501073,Hagenholz-Vergletscherung,3.0,15201072.0
57,15201027,Vlit501027,Lindmühle-Vorstoss,4.0,15201024.0
227,15201229,Vlit501229,Schwanden-Schotter,2.0,15201003.0
838,15201271,Vlit501271,Aatal-Seebodenlehm,2.0,15201003.0
251,15201253,Vlit501253,Schrotzburg-Schotter,2.0,15201004.0
827,15201260,Vlit501260,Wurmsbach-Deltaablagerungen,4.0,15201008.0
175,15201116,Vlit501116,Degermoos-Schotter,2.0,15201005.0
176,15201117,Vlit501117,Ebnet-Schotter,2.0,15201005.0
139,15201083,Vlit501083,Gränichen-Schotter,3.0,15201082.0
181,15201122,Vlit501122,Lindenhau-Schotter,2.0,15201005.0
35,15201009,Vlit501009,Birmenstorf-Vergletscherung (2. LGM-Vorstoss),3.0,15201006.0
204,15201206,Vlit501206,Triengen-Lehm,4.0,15201008.0
198,15201200,Vlit501200,Wiggen-Schotter,2.0,15201002.0
830,15201263,Vlit501263,Bire-Bergsturzablagerungen,4.0,15201008.0
199,15201201,Vlit501201,Menzingen-Schotter,2.0,15201002.0
847,15201280,Vlit501280,Unteres-Huttenbüel-Schotter,2.0,15201003.0
76,15201156,Vlit501156,Bersturzmasse von Selzach,2.0,15201001.0
97,15201168,Vlit501168,Tuileries-Formation,2.0,15201003.0
152,15201095,Vlit501095,Schleitheim-Vorstoss,4.0,15201092.0
29,15201146,Vlit501146,Flumenthal-Lehm,4.0,15201007.0
133,15201077,Vlit501077,Ittingen-Schotter,4.0,15201076.0
59,15201029,Vlit501029,Ämmert-Till,5.0,15201027.0
144,15201088,Vlit501088,Habsburg-Schotter,5.0,15201087.0
100,15201053,Vlit501053,Beringen-Eiszeit,2.0,15201003.0
138,15201082,Vlit501082,Habsburg-Eiszeit,2.0,15201003.0
77,15201157,Vlit501157,Plateauschotter,2.0,15201001.0
136,15201080,Vlit501080,Habsburg-Hagenholz-Interglazial,2.0,15201003.0
226,15201228,Vlit501228,Richterswil-Seeton,2.0,15201003.0
197,15201199,Vlit501199,Wolhusen-Schotter,2.0,15201002.0
233,15201235,Vlit501235,Sihlsprung-Schotter,2.0,15201003.0
93,15201164,Vlit501164,Berken-Sand,2.0,15201003.0
140,15201084,Vlit501084,Roggehuse-Schotter,3.0,15201082.0
148,15201091,Vlit501091,Möhlin-Eiszeit (Grösste Eiszeit),2.0,15201003.0
232,15201234,Vlit501234,Chälen-Till,2.0,15201003.0
254,15201256,Vlit501256,Bannholz-Schotter,2.0,15201004.0
849,15201282,Vlit501282,Tiefenwinkel-Seebodensedimente,2.0,15201003.0
241,15201243,Vlit501243,Butteberg-Schotter,3.0,15201053.0
71,15201041,Vlit501041,Hombrechtikon-Vergletscherung (Frühletzteiszeitliche Vergl.),3.0,15201006.0
154,15201096,Vlit501096,Fisibach-Schotter,2.0,15201004.0
246,15201248,Vlit501248,Bänkel-Schotter,3.0,15201082.0
159,15201101,Vlit501101,Mittlere Iberigschotter,3.0,15201098.0
156,15201098,Vlit501098,Iberig-Schotterkomplex,2.0,15201004.0
126,15201071,Vlit501071,Ältere Beckenfüllungen,2.0,15201003.0
132,15201076,Vlit501076,Pfyn-Vorstoss,3.0,15201072.0
81,15201051,Vlit501051,Flurlingen-Quelltuff,3.0,15201050.0
848,15201281,Vlit501281,Winden-Schieferkohle,2.0,15201003.0
191,15201193,Vlit501193,Trachslau-Schotter,2.0,15201002.0
128,15201179,Vlit501179,Ruckfeld-Schotter,3.0,15201072.0
845,15201278,Vlit501278,Halden-Seeablagerungen,2.0,15201003.0
236,15201238,Vlit501238,Ritteren-Schotterkomplex,2.0,15201003.0
836,15201269,Vlit501269,Oberricken-Schotter,2.0,15201003.0
45,15201018,Vlit501018,Fornholz-Till,5.0,15201016.0
92,15201163,Vlit501163,Berken-Schotter,2.0,15201003.0
179,15201120,Vlit501120,Buechen-Formation,2.0,15201005.0
222,15201224,Vlit501224,Rabennest-Schotter,2.0,15201003.0
96,15201167,Vlit501167,Aarburg-Schotter,2.0,15201003.0
90,15201161,Vlit501161,Lommiswil-Schotter,3.0,15201160.0
187,15201189,Vlit501189,Alterswil-Schotter,2.0,15201002.0
173,15201114,Vlit501114,Langacher-Schotter,2.0,15201005.0
20,15201138,Vlit501138,Orvin-Schotter,4.0,15201008.0
112,15201061,Vlit501061,Schaffhausen-Schotter,5.0,15201060.0
123,15201178,Vlit501178,Hausen-Moräne,5.0,15201068.0
834,15201267,Vlit501267,Grundtal-Schotter,3.0,15201050.0
50,15201020,Vlit501020,Gontenschwil-Till,5.0,15201019.0
82,15201052,Vlit501052,Birrfeld- und Klettgau-Paläoböden,3.0,15201050.0
158,15201100,Vlit501100,Oberer Till,3.0,15201098.0
16,15201134,Vlit501134,Nohl-Terrasse,4.0,15201008.0
157,15201099,Vlit501099,Obere Iberigschotter,3.0,15201098.0
219,15201221,Vlit501221,Brandflue-Schotter,2.0,15201003.0
105,15201054,Vlit501054,Entfelden-Schotter,3.0,15201053.0
68,15201038,Vlit501038,Gossau-Interstadial,3.0,15201006.0
43,15201016,Vlit501016,Seon-Vorstoss,4.0,15201009.0
38,15201012,Vlit501012,Altberg-Till,5.0,15201010.0
115,15201064,Vlit501064,Löhningen-Engiwald-Vergletscherung,3.0,15201053.0
31,15201148,Vlit501148,Munot-Terrasse,5.0,15201147.0
36,15201010,Vlit501010,Wettingen-Vorstoss,4.0,15201009.0
62,15201032,Vlit501032,Igliste-Schotter,5.0,15201030.0
54,15201024,Vlit501024,Lindmühle-Vergletscherung (1. LGM-Vorstoss),3.0,15201006.0
245,15201247,Vlit501247,Ruedertal-Schotter,3.0,15201082.0
66,15201036,Vlit501036,Kirchleerau-Vorstoss,4.0,15201024.0
223,15201225,Vlit501225,Ratengütsch-Schotter,2.0,15201003.0
214,15201216,Vlit501216,Zelg-Schotter,2.0,15201003.0
194,15201196,Vlit501196,Schnabelsberg-Stauchotter,2.0,15201002.0
142,15201086,Vlit501086,Habsburg-Vergletscherung,3.0,15201082.0
188,15201190,Vlit501190,Karlsruhe-Schotter,2.0,15201002.0
134,15201078,Vlit501078,Ryhirt-Formation,3.0,15201072.0
26,15201143,Vlit501143,Seeland-Schotter,4.0,15201007.0
201,15201203,Vlit501203,Gontenschwil-Lehm,4.0,15201008.0
210,15201212,Vlit501212,Port-Stauschotter,4.0,15201008.0
87,15201049,Vlit501049,Untere Klettgauschotter,3.0,15201045.0
153,15201004,Vlit501004,Tiefere Deckenschotter,1.0,0.0
164,15201005,Vlit501005,Höhere Deckenschotter,1.0,0.0
23,15201141,Vlit501141,Mély-Formation,4.0,15201008.0
18,15201136,Vlit501136,Aare-Schotter,4.0,15201008.0
160,15201102,Vlit501102,Untere Iberigschotter,3.0,15201098.0
70,15201040,Vlit501040,Niederweningen-Formation,4.0,15201038.0
243,15201245,Vlit501245,Heitere-Schotter,3.0,15201082.0
211,15201213,Vlit501213,Rempen-Stauschotter,4.0,15201008.0
49,15201019,Vlit501019,Gontenschwil-Vorstoss,4.0,15201009.0
205,15201207,Vlit501207,Sihl-Schotter,4.0,15201008.0
106,15201055,Vlit501055,Aarau-Schotter,3.0,15201053.0
195,15201197,Vlit501197,Einsiedeln-Lehm,2.0,15201002.0
225,15201227,Vlit501227,Walsenhaus-Schotter,2.0,15201003.0
839,15201272,Vlit501272,Eschenbach-Formation,2.0,15201003.0
828,15201261,Vlit501261,Oeschinensee-Bergsturzablagerungen,4.0,15201008.0
74,15201044,Vlit501044,1. letzteiszeitlischs Vorstoss,4.0,15201041.0
108,15201057,Vlit501057,Veltheim-Schotter,3.0,15201053.0
250,15201252,Vlit501252,Sagenbach-Schotter,2.0,15201004.0
114,15201063,Vlit501063,Lupfig-Schotter,5.0,15201062.0
215,15201217,Vlit501217,Forst-Schotter,2.0,15201003.0
83,15201045,Vlit501045,Klettgau-Schotter,2.0,15201003.0
120,15201067,Vlit501067,Löhningen-Vorstoss,4.0,15201064.0
192,15201194,Vlit501194,Bennau-Schotter,2.0,15201002.0
130,15201074,Vlit501074,Hagenholz-Vorstoss,3.0,15201072.0
213,15201215,Vlit501215,Oftringen-Schotter,5.0,15201214.0
89,15201160,Vlit501160,Attiswil-Schotter,2.0,15201003.0
17,15201135,Vlit501135,Altenburg-Fulach-Terrasse,5.0,15201131.0
189,15201191,Vlit501191,Chisetal-Schotter,2.0,15201002.0
52,15201022,Vlit501022,Staffelbach-Schotter,5.0,15201021.0
240,15201242,Vlit501242,Chräjeloch-Schotter,3.0,15201053.0
837,15201270,Vlit501270,Haslentobel-Schotter,2.0,15201003.0
843,15201276,Vlit501276,Unter-Buechwald-Schotter,2.0,15201003.0
37,15201011,Vlit501011,Flüefeld-Schotter,5.0,15201010.0
208,15201210,Vlit501210,Aabach-Schotter,4.0,15201008.0
147,15201090,Vlit501090,Thalgut-Interglazial,2.0,15201003.0
117,15201066,Vlit501066,Rüfenach-Vorstoss,4.0,15201064.0
230,15201232,Vlit501232,Gubel-Schotter,2.0,15201003.0
69,15201039,Vlit501039,Mülligen-Paläoboden,4.0,15201038.0
131,15201075,Vlit501075,Aathal-Schotter,4.0,15201074.0
163,15201105,Vlit501105,Fornech-Schotter,2.0,15201004.0
11,15201129,Vlit501129,Zürich-Stein-Bremgarten-Stadien,4.0,15201008.0
842,15201275,Vlit501275,Gublen-Schotter,2.0,15201003.0
255,15201257,Vlit501257,Hungerbol-Schotter,2.0,15201004.0
48,15201155,Vlit501155,Wettingen-Schotter,4.0,15201009.0
167,15201108,Vlit501108,Irchel-Schotterkomplex,2.0,15201005.0
1146,15201286,Vlit501286,Bergsturzablagerungen von Sierre,2.0,15201311.0
7,15201002,Vlit501002,Niederterrasse,1.0,0.0
1147,15201287,Vlit501287,Bergsturzablagerungen von Chiètres,2.0,15201311.0
186,15201188,Vlit501188,Münsingen-Schotterkomplex,1.0,0.0
24,15201007,Vlit501007,"Last Glacial Maximum (LGM), undiff.",3.0,15201006.0
60,15201030,Vlit501030,Emmet-Vorstoss,4.0,15201024.0
12,15201130,Vlit501130,Untere Singen-Terrasse,5.0,15201129.0
840,15201273,Vlit501273,Oberkirch-Seebodenlehm,2.0,15201003.0
94,15201165,Vlit501165,Schwarzhäusern-Lehm,2.0,15201003.0
15,15201133,Vlit501133,Rheinau-Terrasse,4.0,15201008.0
110,15201059,Vlit501059,Langwiesen-Vergletscherung,3.0,15201053.0
85,15201047,Vlit501047,Glazi-lakustrische Serie,3.0,15201045.0
835,15201268,Vlit501268,Murg-Schieferkohle,3.0,15201050.0
202,15201204,Vlit501204,Mooslerau-Lehm,4.0,15201008.0
25,15201142,Vlit501142,Kiessande von Madretsch,4.0,15201007.0
14,15201132,Vlit501132,Obere Singen-Terrasse,5.0,15201131.0
111,15201060,Vlit501060,Langwiesen-Vorstoss,4.0,15201059.0
99,15201170,Vlit501170,Poissine-Formation,2.0,15201003.0
242,15201244,Vlit501244,Höchi-Schotter,3.0,15201053.0
119,15201176,Vlit501176,Reusstal-Lehm,5.0,15201066.0
212,15201214,Vlit501214,Dagmersellen-Vorstoss,4.0,15201009.0
172,15201113,Vlit501113,Untere Irchelschotter,3.0,15201108.0
166,15201107,Vlit501107,Steig-Schotter,2.0,15201005.0
122,15201177,Vlit501177,Hausen-Lehm,5.0,15201068.0
67,15201037,Vlit501037,Kirchleerau-Till,5.0,15201036.0
224,15201226,Vlit501226,Scherenspitz-Schotter,2.0,15201003.0
244,15201246,Vlit501246,Holziken-Schotter,3.0,15201082.0
162,15201104,Vlit501104,Wolfacher-Schotter und -Till,2.0,15201004.0
180,15201121,Vlit501121,Feusi-Schotter,2.0,15201005.0
39,15201013,Vlit501013,Birmenstorf-Vorstoss,4.0,15201009.0
170,15201111,Vlit501111,Irchel-Dolomitschotter,3.0,15201108.0
98,15201169,Vlit501169,Grandson-Formation,2.0,15201003.0
221,15201223,Vlit501223,Chatzenstrick-Schotter,2.0,15201003.0
203,15201205,Vlit501205,Triengen-Schotter,4.0,15201008.0
124,15201069,Vlit501069,Remigen-Schotter,5.0,15201068.0
8,15201006,Vlit501006,Birrfeld-Eiszeit (Letzte Eiszeit),2.0,15201002.0
61,15201031,Vlit501031,Gündelmoos-Lehm,5.0,15201030.0
22,15201140,Vlit501140,Stauschotter von Diessbach,4.0,15201008.0
28,15201145,Vlit501145,Gäu-Schotter,4.0,15201007.0
234,15201236,Vlit501236,Kollbrunn-Schotter,2.0,15201003.0
42,15201152,Vlit501152,Wehntal-Schotter,5.0,15201013.0
193,15201195,Vlit501195,Hütten-Schotter,2.0,15201002.0
171,15201112,Vlit501112,Mittlere Irchelschotter,3.0,15201108.0
174,15201115,Vlit501115,Dürn-Formation,2.0,15201005.0
137,15201081,Vlit501081,Möhlinerfeld-Paläoboden,3.0,15201080.0
178,15201119,Vlit501119,Egghalden-Schotter,2.0,15201005.0
