OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,DESCRIPTION,GEOLCODE
8,{FA5A1B95-7AA9-42B0-A94B-6A8C29552872},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Hangschutt vermischt,14509008
10,{E9F12465-3EFD-4F2C-B00A-90B711B9F61D},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Torf,14509010
4,{C41917FC-615E-4728-9412-07BE2EF79D8D},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Blöcken,14509004
1292,{F8043BEA-AE0B-4961-AFBA-8EF1980DE52D},OggieSebas,2024-04-03 18:36:36,2024-07-18 11:58:52,,,2023.0,5.0,200.0,100.0,2023.0,5.0,1039977.0,1145890.0,,,,,,mit Schieferkohle,14509013
2,{C6283075-990C-47FA-9BEA-5D305B49EF38},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Lösslehm,14509002
11,{7B82028F-91D3-4EC9-A2A4-ECF409AD05D3},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit jurassischen Geröllen,14509011
12,{581DEF18-090B-456A-A971-855091CC3881},,2017-04-18 21:30:49,2017-04-18 21:30:49,,,,,,,,,,,,,,,,mit Geröllen aus Vogesen / Schwarzwald,14509012
1,{37CE3532-1B8A-467E-BAE7-F9CAAE56EEB6},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Löss,14509001
6,{9CD5834B-E093-4E9B-A639-66F4E9CA938D},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Block- und Geschiebestreu,14509006
7,{770C448A-D7BA-4AC4-955F-B3685C3259C6},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Blockschutt vermischt,14509007
3,{C3ABCE5C-6552-49B2-A85E-F8102F22ECD5},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Seekreide,14509003
5,{CFA6E8F5-D75E-4CC5-A237-3B1224DA7D71},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit alpinen Geröllen,14509005
9,{AECBE6DF-B10B-4CCD-975C-072B12CF37D9},,2016-01-01 00:00:00,2016-01-01 00:00:00,,,,,,,,,,,,,,,,mit Verwitterungsschutt vermischt,14509009
