OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
8,{79C4AD91-B744-469D-924C-7A010DDA6AF0},,2025-05-23 03:23:36.000000,2025-05-23 03:23:36.000000,,,,,,,,,,,,,,,,3,15283005.0,Bregaglia-Intrusion,15283007
24,{FF9735D8-22D9-469C-8E9C-C7E17AA5D3D2},,2025-05-23 03:23:38.000000,2025-05-23 03:23:38.000000,,,,,,,,,,,,,,,,5,15285013.0,USM-II,15285015
52,{B0FA663B-1ECF-466D-9F20-FE1CF2CC1224},,2025-05-23 03:23:43.000000,2025-05-23 03:23:43.000000,,,,,,,,,,,,,,,,3,15285040.0,Lias-Dogger in neritischer Fazies,15285043
10,{3C653E67-5B1F-45A7-ABFF-D2B3E361EE1C},,2025-05-23 03:23:36.000000,2025-05-23 03:23:36.000000,,,,,,,,,,,,,,,,1,0.0,Sedimentbedeckung,15285001
41,{E32B6917-2004-4CBB-B4B2-80E7CF17F7EC},,2025-05-23 03:23:41.000001,2025-05-23 03:23:41.000001,,,,,,,,,,,,,,,,4,15285030.0,Scaglia,15285032
18,{63B314DD-BB52-4FB7-840A-5131B1091DE9},,2025-05-23 03:23:37.000000,2025-05-23 03:23:37.000000,,,,,,,,,,,,,,,,4,15285004.0,USM-III bis OSM-I,15285009
36,{3EA85BC3-E7C3-41DC-98DF-86DDA5ECD5C8},,2025-05-23 03:23:40.000000,2025-05-23 03:23:40.000000,,,,,,,,,,,,,,,,3,15285025.0,«Nummulitikum»,15285027
54,{F3307560-B0E5-445E-AF7B-5D435760EE03},,2025-05-23 03:23:43.000000,2025-05-23 03:23:43.000000,,,,,,,,,,,,,,,,2,15285001.0,Prä-Rift,15285045
64,{57E2ACB7-3F8C-4199-BD1F-38E44BA79F49},,2025-05-23 03:23:44.000000,2025-05-23 03:23:44.000000,,,,,,,,,,,,,,,,1,0.0,Grundgebirge,15287001
66,{F773BF96-1F4D-403D-BC64-6330DF2F8CFB},,2025-05-23 03:23:45.000000,2025-05-23 03:23:45.000000,,,,,,,,,,,,,,,,3,15287002.0,Spät- bis postvariszisches Grundgebirge,15287003
28,{EE540E74-7B18-4265-821E-BE2BF342513C},,2025-05-23 03:23:39.000000,2025-05-23 03:23:39.000000,,,,,,,,,,,,,,,,5,15285018.0,UMM-III,15285019
44,{F04E9473-03B9-44A7-A10B-678FBF4696D7},,2025-05-23 03:23:41.000001,2025-05-23 03:23:41.000001,,,,,,,,,,,,,,,,3,15285029.0,Post-Rift Mesozoikum in detritischer Fazies,15285035
15,{160A673A-24FC-46D6-A250-BE144E557529},,2025-05-23 03:23:37.000000,2025-05-23 03:23:37.000000,,,,,,,,,,,,,,,,5,15285005.0,OSM-II,15285006
21,{BBD2C6F4-7949-4A89-BE7D-F5E09086F478},,2025-05-23 03:23:38.000000,2025-05-23 03:23:38.000000,,,,,,,,,,,,,,,,5,15285010.0,OMM-I,15285012
47,{7EB7AA16-81BD-46A6-A97C-9CDD3E544EFD},,2025-05-23 03:23:42.000000,2025-05-23 03:23:42.000000,,,,,,,,,,,,,,,,4,15285037.0,«Urgonien»,15285038
53,{629B036D-53A5-40B7-BD7C-C339E3ED47BB},,2025-05-23 03:23:43.000000,2025-05-23 03:23:43.000000,,,,,,,,,,,,,,,,3,15285040.0,Lias-Dogger in detritischer Fazies,15285044
68,{93F139CA-B92B-400A-8040-E601C6ACF2D9},,2025-05-23 03:23:45.000000,2025-05-23 03:23:45.000000,,,,,,,,,,,,,,,,4,15287003.0,Spätvariszisches Grundgebirge,15287005
4,{0441148D-092E-4048-A25C-B721528DBA88},,2025-05-23 03:23:35.000000,2025-05-23 03:23:35.000000,,,,,,,,,,,,,,,,3,15283002.0,Hegau-Vulkanismus,15283003
13,{260DCD3B-F38D-4A04-9034-E5F6505718E9},,2025-05-23 03:23:36.000000,2025-05-23 03:23:36.000000,,,,,,,,,,,,,,,,3,15285002.0,Molasse,15285004
30,{F03385E8-3677-40EF-9D7C-DBF5A246A22A},,2025-05-23 03:23:39.000000,2025-05-23 03:23:39.000000,,,,,,,,,,,,,,,,5,15285018.0,UMM-I,15285021
38,{230BC833-9615-497E-8B2A-15DFE0170C02},,2025-05-23 03:23:40.000000,2025-05-23 03:23:40.000000,,,,,,,,,,,,,,,,2,15285001.0,Post-Rift,15285029
2,{EAB11E46-7260-4E74-A6BE-695398B51B3B},,2025-05-23 03:23:35.000000,2025-05-23 03:23:35.000000,,,,,,,,,,,,,,,,1,0.0,Alpines Magmatismus,15283001
43,{B9D66A0A-E0CC-4726-905E-7D1C9353C012},,2025-05-23 03:23:41.000001,2025-05-23 03:23:41.000001,,,,,,,,,,,,,,,,4,15285030.0,Radiolarit,15285034
57,{25FFF933-F1BE-4BB1-B556-8521C7B6B18F},,2025-05-23 03:23:43.000000,2025-05-23 03:23:43.000000,,,,,,,,,,,,,,,,4,15285046.0,Keuper,15285048
11,{7992137B-2C97-465F-B253-A191B8559F5A},,2025-05-23 03:23:36.000000,2025-05-23 03:23:36.000000,,,,,,,,,,,,,,,,2,15285001.0,Post-Kollision,15285002
56,{083E9191-B1DC-465E-B890-799E27CD8CCD},,2025-05-23 03:23:43.000000,2025-05-23 03:23:43.000000,,,,,,,,,,,,,,,,4,15285046.0,«Rhät»,15285047
