OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,DESCRIPTION,GEOLCODE
306,{2FFAFABC-D05D-4AEB-BAD6-08FDA1251E4A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hauptrogenstein: Maeandrina-Sch.,15200199
307,{FFFB1567-733D-44A7-AA4A-CCD8BCDD1CBC},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hauptrogenstein: Gisliflue-Korallenkalk,15200200
308,{9217FDB5-C113-412F-87FE-015EAA96B830},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hauptrogenstein: Untere Acuminata-Sch.,15200201
313,{75CB8827-D9FF-4A99-B318-D308CC892368},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Klingnau-Fm.: Parkinsoni-Sch.,15200202
317,{00A36307-D67B-4EDD-A216-8652AFF02732},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Dewalquei-Kalk,15200203
318,{46B96F16-5783-4F33-8943-14B552C37664},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Brot-Sch.,15200204
326,{9B9565C6-E987-44AC-8060-F82861763560},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Passwang-Fm.: Sissach-Mb.: Comptum-Bk.,15200205
354,{79C4CCF5-6192-478C-83CC-AFE7E20BF215},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Klettgau-Fm.: Seebi-Mb.,15200206
355,{AE55F7F0-229D-43EC-A86F-D22B25C43FD3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Klettgau-Fm.: Gruhalde-Mb.,15200207
356,{9A93B513-BD97-409A-849F-CB9932B51DD9},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Klettgau-Fm.: Berlingen-Mb.,15200208
357,{E81B5277-7385-49FC-A7FA-9EF2EB16C58A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Klettgau-Fm.: Gansingen-Mb.,15200209
358,{34C7D371-9B92-481F-BB01-0203D77C38F2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Klettgau-Fm.: Ergolz-Mb.,15200210
364,{22DC508F-4FC3-417F-81FC-F8FE20641738},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Schinznach-Fm.: Stamberg-Mb.: Kaisten-Bk.,15200211
366,{EB05C090-1C4C-4425-9572-A2F2AD12FAEA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Schinznach-Fm.: Eptingen-Bk.,15200212
367,{D0CB6A61-2952-41BE-848F-D50AD7F73BAD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Schinznach-Fm.: Dünnlenberg-Bk.,15200213
369,{54BE6717-238C-4D3F-AD5C-75CE089211C6},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Schinznach-Fm.: Kienberg-Mb.: Saalhof-Bk.,15200214
370,{4A43EB65-1933-4104-804E-B0212F70535B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Schinznach-Fm.: Leutschenberg-Mb.: Fützen-Bk.,15200215
372,{F6FED62A-93F4-437F-A142-B474617D4CCE},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Zeglingen-Fm.: Dolomitzone,15200216
389,{BD376820-905E-4FDE-B142-AB6431E9913D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Weitenau-Fm.: Oberer Schuttfächer,15200217
390,{2AEA82B7-22CB-4476-A4E6-9400570EF47D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Weitenau-Fm.: Playa-Serie,15200218
391,{12FC99C9-01DC-43EE-8668-46F496C8B61D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Weitenau-Fm.: Unterer Schuttfächer,15200219
392,{85DB980B-30B4-4D09-BAFC-A64990C57A8A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Schwarzwald-Massiv: Spät- bis postvariszische Intrusiva,15200220
386,{58F07C36-F0E7-4ABB-9BA8-B8FC18872C94},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,1.0,Nordalpines Vorland: Spät- bis postvariszische Sedimente und Vulkanite,15200221
393,{B82E09D7-D962-4D4B-A075-7C9ABF43B62A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Stockberg-Quarzporphyr,15200222
394,{B13D18F5-7E4F-4368-8D9B-0FD35A78AE60},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Bärhalde-Granit,15200223
395,{BDF01500-F680-4B46-9AE1-5D8E42A3100B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Schluchsee-Granit,15200224
396,{A28377A7-2317-4888-83BC-2EA110FC0525},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Säckingen-Granit,15200225
399,{88E0C2FB-F535-429A-8143-04F34ECF4139},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Weiach-Fm.: Jüngere Flussablagerungen,15200226
400,{D2414C47-D487-4707-AF45-61947B2B1AD2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Weiach-Fm.: Seeablagerungen,15200227
401,{0AD79D68-4E88-4C41-A5C4-60127E635A57},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Weiach-Fm.: Ältere Flussablagerungen,15200228
402,{D9E10D72-93FE-432F-ADAA-60109345112C},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Weiach-Fm.: Ältere Flussablagerungen: Kohle-Serie,15200229
403,{E7D1E93D-BAF0-4452-AD44-33D4C4CECE31},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Schwarzwald-Massiv: Früh- bis mittelvariszische Intrusiva,15200230
404,{A1550C97-2A18-4C46-863B-A99DADE68A72},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Albtal-Granit,15200231
405,{CE75A414-2447-4D36-AEC1-2C37151F88B3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Malsburg-Granit,15200232
406,{DFB8D8B0-3B29-4427-A507-754CB5A07C45},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Blauen-Granit,15200233
407,{99FCB5E0-E6DD-46F1-BD10-75A8388B1239},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Klemmbach-Granit,15200234
408,{6BF1AA02-8DD7-4001-9F66-A94D1C0C28DC},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Randgranit,15200235
409,{A1AD8AE5-E401-4FAC-8F23-990B06B9B418},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Münsterhalden-Granit,15200236
