OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
4157,{EA0A3090-02ED-4A48-AFAC-D1A02493F0EE},,2024-10-25 16:54:06.000000,2024-10-25 16:54:06.000000,,,,,,,,,,,,,,,,1,0.0,Autochthones Nordalpines Vorland,15309001
4158,{2686D74D-F498-4135-B2B8-4B8385F23963},,2024-10-25 16:54:08.000001,2024-10-25 16:54:08.000001,,,,,,,,,,,,,,,,2,15309001.0,Bresse-Graben,15309002
4159,{D17535B8-E46D-478C-B343-0858C6020961},,2024-10-25 16:54:08.000001,2024-10-25 16:54:08.000001,,,,,,,,,,,,,,,,2,15309001.0,Haute-Saône-Tafel,15309003
4160,{CBEE6945-6213-4063-A4E4-786F09F62E69},,2024-10-25 16:54:09.000000,2024-10-25 16:54:09.000000,,,,,,,,,,,,,,,,2,15309001.0,Oberrhein-Graben,15309004
4161,{103C3BC6-5390-44D3-A0DA-B808EEACB5D1},,2024-10-25 16:54:09.000000,2024-10-25 16:54:09.000000,,,,,,,,,,,,,,,,2,15309001.0,Süddeutsche Tafel,15309005
4162,{FF6C65E5-A50D-4F70-A8EB-803CFF91E386},,2024-10-25 16:54:09.000000,2024-10-25 16:54:09.000000,,,,,,,,,,,,,,,,3,15309005.0,Hegau-Bodensee-Graben,15309006
4163,{1706270C-58D6-4FF1-A1E5-66CCC213B240},,2024-10-25 16:54:10.000000,2024-10-25 16:54:10.000000,,,,,,,,,,,,,,,,1,0.0,Übergangszone zwischen Abgeschertem und Autochthonem Vorlandplateau,15309007
4164,{493FE26A-15B7-4166-B532-0D8F5203FABF},,2024-10-25 16:54:10.000000,2024-10-25 16:54:10.000000,,,,,,,,,,,,,,,,1,0.0,Abgeschertes Nordalpines Vorland,15309008
4165,{A564787F-58C5-4CF3-9046-E80041547640},,2024-10-25 16:54:11.000000,2024-10-25 16:54:11.000000,,,,,,,,,,,,,,,,2,15309008.0,Externer Faltenjura,15309009
4166,{B3F65C25-65FC-411B-B34E-E6D20D4014A8},,2024-10-25 16:54:11.000000,2024-10-25 16:54:11.000000,,,,,,,,,,,,,,,,3,15309009.0,Faisceaux,15309010
4167,{5A0CC995-FC22-48C9-A75D-4E7C203806D4},,2024-10-25 16:54:12.000000,2024-10-25 16:54:12.000000,,,,,,,,,,,,,,,,3,15309009.0,Plateaux,15309011
4168,{48E3CBA8-A0F4-411D-B11A-3A7B3BF61AB6},,2024-10-25 16:54:12.000000,2024-10-25 16:54:12.000000,,,,,,,,,,,,,,,,2,15309008.0,Interner Faltenjura und Vorlandplateau,15309012
4169,{DD1CCF56-695B-4331-A9AC-BE3904212742},,2024-10-25 16:54:13.000000,2024-10-25 16:54:13.000000,,,,,,,,,,,,,,,,2,15309008.0,Subalpine Molasse,15309013
4170,{57118512-0991-47D2-8466-AABAC08068CB},,2024-10-25 16:54:13.000000,2024-10-25 16:54:13.000000,,,,,,,,,,,,,,,,3,15309013.0,Marbach-Berneck-Dreieckzone,15309014
4171,{9CCED970-AD57-4AB2-B6FC-64C8338E8E82},,2024-10-25 16:54:14.000000,2024-10-25 16:54:14.000000,,,,,,,,,,,,,,,,3,15309013.0,Subalpiner Schuppenkomplex,15309015
4172,{4B27F874-CA49-4C34-BB6F-BE90539DF88F},,2024-10-25 16:54:14.000000,2024-10-25 16:54:14.000000,,,,,,,,,,,,,,,,4,15309015.0,Belmont-Schuppe,15309016
4173,{39F53349-253E-412E-B7E5-F385FCE783FE},,2024-10-25 16:54:14.000000,2024-10-25 16:54:14.000000,,,,,,,,,,,,,,,,4,15309015.0,Lutry-Thonon-Schuppe,15309017
4174,{0A079BC0-B5D6-4F05-ACA7-1E8EFFB96868},,2024-10-25 16:54:15.000000,2024-10-25 16:54:15.000000,,,,,,,,,,,,,,,,4,15309015.0,Brécorens-Lucinges-Schuppe,15309018
4175,{80552978-C5AA-41DF-8247-E7213AB81612},,2024-10-25 16:54:15.000000,2024-10-25 16:54:15.000000,,,,,,,,,,,,,,,,4,15309015.0,Cully-Schuppe,15309019
4176,{46E83775-849A-4DF1-8A64-B87709A97387},,2024-10-25 16:54:16.000001,2024-10-25 16:54:16.000001,,,,,,,,,,,,,,,,4,15309015.0,Lavaux-Schuppe,15309020
4177,{899F62D9-F456-408D-B87C-8251DCF1D2E5},,2024-10-25 16:54:16.000001,2024-10-25 16:54:16.000001,,,,,,,,,,,,,,,,4,15309015.0,Mont-Pèlerin-Schuppe,15309021
