OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN
1,14509001,Runc309001,mit Löss
2,14509002,Runc309002,mit Lösslehm
3,14509003,Runc309003,mit Seekreide
4,14509004,Runc309004,mit Blöcken
5,14509005,Runc309005,mit alpinen Geröllen
6,14509006,Runc309006,mit Block- und Geschiebestreu
7,14509007,Runc309007,mit Blockschutt vermischt
8,14509008,Runc309008,mit Hangschutt vermischt
9,14509009,Runc309009,mit Verwitterungsschutt vermischt
10,14509010,Runc309010,mit Torf
11,14509011,Runc309011,mit jurassischen Geröllen
12,14509012,Runc309012,mit Geröllen aus Vogesen / Schwarzwald
1292,14509013,,mit Schieferkohle
