"GeolCode";"GeolCodeInt";"DE";"FR"
;999997;"unbekannt";"inconnu"
;999998;"nicht anwendbar";"non applicable"
;10002001;"historisch";"historique"
;10002002;"prähistorisch";"préhistorique"
;10003001;"Neuzeit";"époque moderne"
;10003002;"Mittelalter";"Moyen Âge"
;10003003;"Römerzeit";"époque romaine"
;10003004;"Eisenzeit";"âge du fer"
;10003005;"Bronzezeit";"âge du bronze"
;10003006;"Steinzeit";"âge de la pierre"
;10004001;"Latènezeit";"La Tène"
;10004002;"Hallstattzeit";"Hallstatt"
;10004003;"Jungbronzezeit";"bronze tardif"
;10004004;"Mittelbronzezeit";"bronze moyen"
;10004005;"Altbronzezeit";"bronze précoce"
;10004006;"Neolithikum";"néolithique"
;10004007;"Mesolithikum";"mésolithique"
;10004008;"Paläolithikum";"paléolithique"
"Aarc101001";10101001;"archäologische Fundstelle, Anlage, Siedlungsreste";"site archéologique, station, vestiges d'établissement"
"Aarc101002";10101002;"Höhlensiedlung, Abri";"grotte, abri sous roche"
"Aarc101003";10101003;"Pfahlbauten";"palafitte"
"Aarc101004";10101004;"Burgstelle, Burghügel, Wachtturm";"motte, emplacement d´un ancien château, d´une fortification, d'un château-fort"
"Aarc101005";10101005;"Gräber, Gräberfeld";"tombe, site mortuaire"
"Aarc101006";10101006;"Steinplattengrab";"sépulture"
"Aarc101007";10101007;"Grabhügel, Dolmengrab";"tumulus, dolmen funéraire"
"Aarc101008";10101008;"Kultstein";"mégalithe"
"Aarc101009";10101009;"Kalkofen";"four à chaux"
"Aarc101010";10101010;"Felsenkeller";"cave dans la roche"
"Aarc101011";10101011;"Schlackenhalde";"crassier"
"Aarc101012";10101012;"Glashütte";"verrerie"
;10101013;"Schmelzofen";"four à fer"
;10101014;"Schalenstein";"pierre à crupules"
;10101015;"Abbaustelle";"exploitation"
"Aarc102001";10102001;"historisch";"historique"
"Aarc102002";10102002;"prähistorisch";"préhistorique"
"Aarc103001";10103001;"Neuzeit";"époque moderne"
"Aarc103002";10103002;"Mittelalter";"Moyen Âge"
"Aarc103003";10103003;"Römerzeit";"époque romaine"
"Aarc103004";10103004;"Eisenzeit";"âge du fer"
"Aarc103005";10103005;"Bronzezeit";"âge du bronze"
"Aarc103006";10103006;"Steinzeit";"âge de la pierre"
"Aarc104001";10104001;"Latènezeit";"La Tène"
"Aarc104002";10104002;"Hallstattzeit";"Hallstatt"
"Aarc104003";10104003;"Jungbronzezeit";"bronze tardif"
"Aarc104004";10104004;"Mittelbronzezeit";"bronze moyen"
"Aarc104005";10104005;"Altbronzezeit";"bronze précoce"
"Aarc104006";10104006;"Neolithikum";"néolithique"
"Aarc104007";10104007;"Mesolithikum";"mésolithique"
"Aarc104008";10104008;"Paläolithikum";"paléolithique"
"Aarc105001";10105001;"Menhir";"menhir"
"Aarc105002";10105002;"Schalenstein";"pierre à cupules"
"Aarc201001";10201001;"Verkehrsweg";"voie de communication"
"Aarc201002";10201002;"Hohlweg";"chemin creux"
"Aarc201003";10201003;"künstlicher Graben, Befestigungsgraben";"fossé artificiel, fossé de fortification"
"Aarc201004";10201004;"künstlicher Erdwall";"levée de terre artificielle"
"Aarc201005";10201005;"Wasserleitung";"aqueduc"
"Aarc201006";10201006;"Steinreihe";"alignement mégalithique"
"Aarc201007";10201007;"Schützengraben";"tranchée"
"Aarc202001";10202001;"historisch";"historique"
"Aarc202002";10202002;"prähistorisch";"préhistorique"
"Aarc203001";10203001;"Neuzeit";"époque moderne"
"Aarc203002";10203002;"Mittelalter";"Moyen Âge"
"Aarc203003";10203003;"Römerzeit";"époque romaine"
