OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
10,3.0,15101003,Vlit401003,15101001.0,"gravitative Sedimente und Verwitterungsbildungen, undifferenziert"
49,3.0,15101005,Vlit401005,15101003.0,"Sturzablagerung, undifferenziert"
50,4.0,15101006,Vlit401006,15101005.0,Bergsturzablagerung
51,4.0,15101007,Vlit401007,15101005.0,Felssturzablagerung
12,3.0,15101008,Vlit401008,15101003.0,Lawinenschutt
13,3.0,15101009,Vlit401009,15101003.0,Hangschutt
14,3.0,15101010,Vlit401010,15101003.0,Blockschutt
52,3.0,15101012,Vlit401012,15101003.0,"Verwitterungslehm, undifferenziert"
53,4.0,15101013,Vlit401013,15101012.0,Plateaulehm
54,4.0,15101014,Vlit401014,15101012.0,"Hanglehm, Schwemmlehm"
16,3.0,15101015,Vlit401015,15101003.0,Blockgletscher
17,3.0,15101016,Vlit401016,15101003.0,zerrüttete Sackungsmasse
18,3.0,15101017,Vlit401017,15101003.0,Rutschmasse
19,2.0,15101019,Vlit401019,15101001.0,"glazigenes Sediment, undifferenziert"
55,4.0,15101021,Vlit401021,15101019.0,"Moräne (Till), undifferenziert"
58,4.0,15101024,Vlit401024,15101021.0,Moräne auf Gletscher oder Toteis (Glacier or Dead Ice covered by Till)
21,2.0,15101026,Vlit401026,15101001.0,"fluviatiles Sediment, undifferenziert"
59,3.0,15101028,Vlit401028,15101026.0,"glazifluviatiles Sediment, undifferenziert"
61,4.0,15101030,Vlit401030,15101028.0,randglazialer Schotter
62,4.0,15101031,Vlit401031,15101028.0,glazifluviatiler Schotter
63,4.0,15101032,Vlit401032,15101028.0,Vorstossschotter
64,4.0,15101033,Vlit401033,15101028.0,Rückzugsschotter
65,4.0,15101034,Vlit401034,15101028.0,Stauschotter
23,3.0,15101035,Vlit401035,15101026.0,gemischter Schutt
67,4.0,15101037,Vlit401037,15101035.0,Murgangablagerung
68,3.0,15101039,Vlit401039,15101026.0,"Alluvion, undifferenziert"
69,4.0,15101040,Vlit401040,15101039.0,fluviatiler Schotter
70,4.0,15101041,Vlit401041,15101039.0,Bachschutt
25,3.0,15101042,Vlit401042,15101026.0,Überschwemmungssediment
26,2.0,15101044,Vlit401044,15101001.0,"lakustrisches Sediment, undifferenziert"
71,4.0,15101046,Vlit401046,15101044.0,"glazilakustrisches Sediment, undifferenziert"
72,4.0,15101047,Vlit401047,15101046.0,glazilakustrisches Deltasediment
73,4.0,15101048,Vlit401048,15101046.0,subaquatisch abgelagerte Moräne (Waterlaid Till)
28,3.0,15101049,Vlit401049,15101044.0,detritische Verlandungsbildung
6,2.0,15101050,Vlit401050,15101001.0,palustrisches Sediment
34,3.0,15101051,Vlit401051,15101050.0,"palustrisches Sediment, undifferenziert"
36,3.0,15101052,Vlit401052,15101050.0,Sumpf
37,3.0,15101053,Vlit401053,15101050.0,"Torfmoor, Torf"
38,3.0,15101054,Vlit401054,15101050.0,Lignit (palustrisches Sediment)
30,3.0,15101056,Vlit401056,15101044.0,Strandablagerungen
31,3.0,15101057,Vlit401057,15101044.0,lakustrisches Deltasediment
32,3.0,15101058,Vlit401058,15101044.0,Seebodensediment
33,3.0,15101059,Vlit401059,15101044.0,Seekreide
39,2.0,15101061,Vlit401061,15101001.0,"äolisches Sediment, undifferenziert"
40,3.0,15101062,Vlit401062,15101061.0,"äolischer Sand, Flugsand"
41,3.0,15101063,Vlit401063,15101061.0,"Löss, Lösslehm"
42,3.0,15101065,Vlit401065,15101061.0,vulkanische Asche
43,2.0,15101067,Vlit401067,15101001.0,"anthropogene Elemente, undifferenziert"
74,3.0,15101069,Vlit401069,15101067.0,"künstliche Ablagerung, undifferenziert"
75,4.0,15101070,Vlit401070,15101069.0,"Aufschüttung, Damm"
76,4.0,15101071,Vlit401071,15101069.0,Auffüllung
77,4.0,15101072,Vlit401072,15101069.0,Deponie
78,4.0,15101073,Vlit401073,15101069.0,Halde
9,2.0,15101075,Vlit401075,15101001.0,dünne Lockermaterialbedeckung
46,3.0,15101076,Vlit401076,15101075.0,geringmächtige Lockergesteinsbedeckung
48,3.0,15101078,Vlit401078,15101075.0,tiefgründige Verwitterungsdecke
35,3.0,15101079,Vlit401079,15101050.0,Gyttja
79,3.0,15101080,Vlit401080,15101081.0,"Quelltuff (Kalksinter, Lockergestein)"
80,2.0,15101081,Vlit401081,15101001.0,hydrochemische Bildungen (Kalksinter)
81,3.0,15101082,Vlit401082,15101081.0,"Travertin (Kalksinter, Lockergestein)"
407,3.0,15101083,Vlit401083,15101075.0,In-situ-Verwitterungsschutt
2327,,15101084,Vlit401084,15101009.0,strukturierter Hangschutt
2649,3.0,15101085,Vlit401085,15101044.0,Tsunamiablagerung
2650,2.0,15101086,Vlit401086,15101001.0,Entwässerungssediment
2651,3.0,15101087,Vlit401087,15101086.0,Sedimentärer Gang (clastic dike)
82,1.0,15102001,Vlit402001,0.0,Sedimentgestein
87,2.0,15102003,Vlit402003,15102001.0,"klastisches Sedimentgestein, undifferenziert"
106,4.0,15102005,Vlit402005,15102003.0,"Konglomerat und Brekzie, undifferenziert (Psephit, Korngrösse: Kies, Steine und Blöcke)"
107,4.0,15102006,Vlit402006,15102005.0,Brekzie
108,4.0,15102007,Vlit402007,15102005.0,Konglomerat
109,3.0,15102009,Vlit402009,15102002.0,"Sandstein, undifferenziert (Psammit: Sandkorngrösse)"
110,4.0,15102010,Vlit402010,15102009.0,Quarzsandstein
111,4.0,15102011,Vlit402011,15102009.0,Kalksandstein
112,4.0,15102012,Vlit402012,15102009.0,Dolomitsandstein
113,4.0,15102013,Vlit402013,15102009.0,kieseliger Sandstein
114,4.0,15102014,Vlit402014,15102009.0,mergeliger Sandstein
115,4.0,15102015,Vlit402015,15102009.0,toniger Sandstein
116,4.0,15102016,Vlit402016,15102009.0,Arkose
117,4.0,15102017,Vlit402017,15102009.0,"Flyschsandstein, Grauwacke"
118,4.0,15102018,Vlit402018,15102009.0,Geröll führender Sandstein
119,4.0,15102019,Vlit402019,15102009.0,Glimmersandstein
120,4.0,15102020,Vlit402020,15102009.0,Glaukonitsandstein
121,4.0,15102021,Vlit402021,15102009.0,Nummulitensandstein
122,4.0,15102022,Vlit402022,15102009.0,Muschelsandstein
123,3.0,15102024,Vlit402024,15102003.0,"Pelit, undifferenziert"
124,4.0,15102025,Vlit402025,15102024.0,Siltstein
