OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
212,3.0,15200001,Vlit500001,15200012.0,Twannbach-Formation
217,3.0,15200002,Vlit500002,15200012.0,Reuchenette-Formation
234,4.0,15200003,Vlit500003,15200160.0,Courgenay-Formation
252,5.0,15200004,Vlit500004,15200573.0,Vellerat-Formation
261,3.0,15200005,Vlit500005,15200012.0,St-Ursanne-Formation
273,3.0,15200006,Vlit500006,15200012.0,Bärschwil-Formation
278,3.0,15200007,Vlit500007,15200055.0,Ifenthal-Formation
291,3.0,15200008,Vlit500008,15200055.0,Hauptrogenstein
316,3.0,15200009,Vlit500009,15200055.0,Passwang-Formation
327,3.0,15200010,Vlit500010,15200055.0,Opalinus-Ton
329,3.0,15200011,Vlit500011,15200056.0,Staffelegg-Formation
211,2.0,15200012,Vlit500012,15200162.0,Malm des Juragebirges
214,4.0,15200013,Vlit500013,15200001.0,Vouglans-Member
215,4.0,15200014,Vlit500014,15200001.0,Chailley-Member
216,4.0,15200015,Vlit500015,15200001.0,Oberer Virgula-Mergel
219,5.0,15200016,Vlit500016,15200187.0,Grenznerineen-Bank
220,5.0,15200017,Vlit500017,15200187.0,Cladocoropsis-Kalk
221,5.0,15200018,Vlit500018,15200187.0,Unterer Virgula-Mergel
223,4.0,15200019,Vlit500019,15200002.0,Courtedoux-Member
224,4.0,15200020,Vlit500020,15200002.0,Banné-Member
225,4.0,15200021,Vlit500021,15200002.0,Vabenau-Member
226,5.0,15200022,Vlit500022,15200021.0,Creugenat-Schichten
227,3.0,15200023,Vlit500023,15200012.0,Etiollets-Formation
228,4.0,15200024,Vlit500024,15200023.0,Complexe récifal
229,4.0,15200025,Vlit500025,15200023.0,Couvaloup-Member
235,5.0,15200026,Vlit500026,15200003.0,Porrentruy-Member
236,5.0,15200027,Vlit500027,15200003.0,La-May-Member
254,6.0,15200028,Vlit500028,15200004.0,Oolithe-Rousse-Member
253,6.0,15200029,Vlit500029,15200004.0,Bure-Member
255,6.0,15200030,Vlit500030,15200004.0,Hauptmumienbank-Member
256,6.0,15200031,Vlit500031,15200004.0,Röschenz-Member
258,6.0,15200032,Vlit500032,15200004.0,Vorbourg-Member
262,4.0,15200033,Vlit500033,15200005.0,Tiergarten-Member
263,4.0,15200034,Vlit500034,15200005.0,Buix-Member
264,4.0,15200035,Vlit500035,15200005.0,Chestel-Member
265,5.0,15200036,Vlit500036,15200035.0,Caquerelle-Pisolith
266,4.0,15200037,Vlit500037,15200005.0,Grellingen-Member
267,3.0,15200039,Vlit500039,15200012.0,Pichoux-Formation
274,4.0,15200040,Vlit500040,15200006.0,Liesberg-Member
275,4.0,15200041,Vlit500041,15200006.0,Sornetan-Member
276,4.0,15200042,Vlit500042,15200006.0,Renggeri-Member
279,4.0,15200043,Vlit500043,15200007.0,Graitery-Member
280,4.0,15200044,Vlit500044,15200007.0,Herznach-Member
281,5.0,15200045,Vlit500045,15200044.0,Schellenbrücke-Bank
282,4.0,15200046,Vlit500046,15200007.0,Bollement-Member
283,4.0,15200047,Vlit500047,15200007.0,Ängistein-Member
284,5.0,15200048,Vlit500048,15200047.0,Unter-Erli-Bank
285,4.0,15200049,Vlit500049,15200007.0,Bözen-Member
286,4.0,15200050,Vlit500050,15200007.0,Saulcy-Member
289,4.0,15200051,Vlit500051,15200007.0,Schelmenloch-Member
290,5.0,15200052,Vlit500052,15200051.0,Anwil-Bank
287,4.0,15200053,Vlit500053,15200007.0,Châtillon-Member
288,4.0,15200054,Vlit500054,15200007.0,St-Brais-Member
277,2.0,15200055,Vlit500055,15200162.0,Dogger des Juragebirges
328,2.0,15200056,Vlit500056,15200162.0,Lias des Juragebirges
293,5.0,15200057,Vlit500057,15200380.0,Spatkalk
294,5.0,15200058,Vlit500058,15200380.0,Pierre-Blanche
296,5.0,15200059,Vlit500059,15200380.0,Movelier-Schichten
297,5.0,15200060,Vlit500060,15200380.0,Obere Oolithische Serie (Grande Oolithe)
302,5.0,15200061,Vlit500061,15200380.0,Obere Acuminata-Schichten
305,5.0,15200062,Vlit500062,15200382.0,Untere Oolithische Serie (Oolithe Subcompacte)
309,4.0,15200063,Vlit500063,15200009.0,Grenchenberg-Member
