OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
4157,1,15309001,Vtec409001,0.0,Autochthones Nordalpines Vorland
4158,2,15309002,Vtec409002,15309001.0,Bresse-Graben
4159,2,15309003,Vtec409003,15309001.0,Haute-Saône-Tafel
4160,2,15309004,Vtec409004,15309001.0,Oberrhein-Graben
4161,2,15309005,Vtec409005,15309001.0,Süddeutsche Tafel
4162,3,15309006,Vtec409006,15309005.0,Hegau-Bodensee-Graben
4163,1,15309007,Vtec409007,0.0,Übergangszone zwischen Abgeschertem und Autochthonem Vorlandplateau
4164,1,15309008,Vtec409008,0.0,Abgeschertes Nordalpines Vorland
4165,2,15309009,Vtec409009,15309008.0,Externer Faltenjura
4166,3,15309010,Vtec409010,15309009.0,Faisceaux
4167,3,15309011,Vtec409011,15309009.0,Plateaux
4168,2,15309012,Vtec409012,15309008.0,Interner Faltenjura und Vorlandplateau
4169,2,15309013,Vtec409013,15309008.0,Subalpine Molasse
4170,3,15309014,Vtec409014,15309013.0,Marbach-Berneck-Dreieckzone
4171,3,15309015,Vtec409015,15309013.0,Subalpiner Schuppenkomplex
4172,4,15309016,Vtec409016,15309015.0,Belmont-Schuppe
4173,4,15309017,Vtec409017,15309015.0,Lutry-Thonon-Schuppe
4174,4,15309018,Vtec409018,15309015.0,Brécorens-Lucinges-Schuppe
4175,4,15309019,Vtec409019,15309015.0,Cully-Schuppe
4176,4,15309020,Vtec409020,15309015.0,Lavaux-Schuppe
4177,4,15309021,Vtec409021,15309015.0,Mont-Pèlerin-Schuppe
4178,4,15309022,Vtec409022,15309015.0,Vevey-Evian-Schuppe
4179,4,15309023,Vtec409023,15309015.0,Gérignoz-La-Roche-Schuppe
4180,4,15309024,Vtec409024,15309015.0,Vaulruz-Schuppe
4181,4,15309025,Vtec409025,15309015.0,Champotey-Ramsera-Schuppe
4182,4,15309026,Vtec409026,15309015.0,La-Pattaz-La-Holena-Schuppe
4183,4,15309027,Vtec409027,15309015.0,Villarvolard-Schuppe
4184,4,15309028,Vtec409028,15309015.0,Seftigschwand-Schuppe
4185,4,15309029,Vtec409029,15309015.0,Giebelegg-Schuppe
4186,4,15309030,Vtec409030,15309015.0,Steffisburg-Schuppe
4187,4,15309031,Vtec409031,15309015.0,Schangnau-Schuppe
4188,4,15309032,Vtec409032,15309015.0,Hornbüel-Schuppenzone
4189,4,15309033,Vtec409033,15309015.0,Blueme-Beichle-Schuppe
4190,4,15309034,Vtec409034,15309015.0,Wolfsegg-Schuppe
4191,4,15309035,Vtec409035,15309015.0,Ralligen-Schuppenzone
4192,4,15309036,Vtec409036,15309015.0,Hilfern-Schuppe
4193,4,15309037,Vtec409037,15309015.0,Höhronen-Schuppe
