OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,DESCRIPTION,GEOLCODE
8,{7E6BB5F5-0816-4AB5-BB6B-B01F25A9CE77},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,umgelagert,14511008
2,{364F8EDD-F98D-465D-ADC5-8C6BC5D5A3FB},GouffYves,2016-01-01,2020-01-30 16:04:02,,,2019.0,8.0,200.0,100.0,2019.0,8.0,1039977.0,1050989.0,,,,,,rezent,14511002
3,{0A70C149-B5AE-440B-A9E9-C4C93787ED19},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,verwittert,14511003
11,{A001C62B-D4DF-4E2D-90AA-F36D612B9B3A},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,künstlich bewässert (Wässermatten),14511011
1,{CE1B3327-7315-4ABD-8001-95916450D889},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,fossil,14511001
4,{AE1941FF-BD95-49F0-B76F-D1A5E2B1D045},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,"verfestigt (durch Überlast), konsolidiert",14511004
5,{3884F44C-65B3-4EB4-91DF-304992A9E010},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,verkittet (zementiert),14511005
10,{CD4D51F4-4854-44CB-B57B-02D71492D127},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,drainiert,14511010
9,{0F1B330D-8E1C-440B-9AE3-B52900E68C66},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,abgebaut,14511009
6,{76094F13-8E12-4771-B7BC-C53BBC5A9933},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,verschwemmt,14511006
7,{B93E6BBC-077A-4587-BE9F-C1A7626B8015},,2016-01-01,2016-01-01 00:00:00,,,,,,,,,,,,,,,,sumpfig,14511007
