OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
5,{5D9EA984-B1E6-4AB0-8F53-DA06DB9C7B8E},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2,15001001.0,Paläozoikum,15001091
6,{874CA164-B90F-46A0-BD01-D303C415FD06},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3,15001002.0,Tertiär,15001012
9,{D56FFF0A-16B4-4854-B034-C1DB87706EF1},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3,15001002.0,Quartär,15001003
10,{889DD0D3-0D08-4EFB-BE32-2FA35035FE24},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001012.0,Neogen,15001013
11,{3D0B7F19-24E8-46DD-B3AD-73E719092F81},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001012.0,Paläogen,15001029
12,{9D27C7F3-F885-415B-8435-E5A9378EB3E4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3,15001049.0,Kreide,15001050
13,{D483DD7B-7603-4A47-B11C-B8F417184670},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3,15001049.0,Jura,15001065
14,{FC03FA16-8BEF-4744-8546-2B8B8D982715},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3,15001049.0,Trias,15001080
15,{9C63E1CB-FE2E-4AB9-9068-661B5AA1CB9F},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001091.0,Perm,15001093
16,{E6720810-923D-4D04-8230-A8BADFFE6FF1},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001091.0,Karbon,15001119
17,{3630F7D8-A170-4356-94CE-F7C233D07DFA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001091.0,Devon,15001128
18,{20F0DF63-E2F8-4800-9A1F-17D0BC792AEE},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001091.0,Silur,15001133
19,{0955694A-7C3C-4D6D-B965-B38DBA54002A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001091.0,Ordovizium,15001134
20,{C53C5B05-99BB-4F6B-A5CA-08CBFC9C5715},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4,15001091.0,Kambrium,15001135
