OBJECTID,TREE_LEVEL,PARENT_REF
1,1,
2,1,
3,2,15283001.0
4,3,15283002.0
5,3,15283002.0
6,2,15283001.0
7,3,15283005.0
8,3,15283005.0
9,3,15283005.0
10,1,
11,2,15285001.0
12,3,15285002.0
13,3,15285002.0
14,4,15285004.0
15,5,15285005.0
16,5,15285005.0
17,5,15285005.0
18,4,15285004.0
19,4,15285004.0
20,5,15285010.0
21,5,15285010.0
22,4,15285004.0
23,5,15285013.0
24,5,15285013.0
25,5,15285013.0
26,5,15285013.0
27,4,15285004.0
28,5,15285018.0
29,5,15285018.0
30,5,15285018.0
31,3,15285002.0
32,2,15285001.0
33,3,15285022.0
34,3,15285022.0
35,2,15285001.0
36,3,15285025.0
37,3,15285025.0
38,2,15285001.0
39,3,15285029.0
40,4,15285030.0
41,4,15285030.0
42,4,15285030.0
43,4,15285030.0
44,3,15285029.0
45,4,15285035.0
46,3,15285029.0
47,4,15285037.0
48,4,15285037.0
49,2,15285001.0
50,3,15285040.0
51,3,15285040.0
52,3,15285040.0
53,3,15285040.0
54,2,15285001.0
55,3,15285045.0
56,4,15285046.0
57,4,15285046.0
58,3,15285045.0
59,4,15285049.0
60,4,15285049.0
61,4,15285049.0
62,3,15285045.0
63,4,15285053.0
64,1,
65,2,15287001.0
66,3,15287002.0
67,4,15287003.0
68,4,15287003.0
69,3,15287002.0
70,3,15287002.0
71,4,15287007.0
72,2,15287001.0
