OBJECTID,DESCRIPTION,TREE_LEVEL
7413,Rocher-des-Hirondelles-Fm.: Serrières-Bk.,5.0
7414,Gorges-de-l'Orbe-Fm.: Morteau-Kalk,4.0
7415,Gorges-de-l'Orbe-Fm.: Montcherand-Mb.: La-Vaux-Bk.,5.0
7416,Gorges-de-l'Orbe-Fm.: Montcherand-Mb.: Cul-du-Nozon-Bk.,5.0
7417,Gorges-de-l'Orbe-Fm.: Montcherand-Mb.: Pont-des-Pierres-Bk.,5.0
7418,Grand-Essert-Fm: Hauterive-Mb.: Censeau-Mergel,4.0
7419,Grand-Essert-Fm: Hauterive-Mb.: Morteau-Mergel,4.0
7420,Chambotte-Fm.: Guiers-Mb.: Grande-Varappe-Bk.,5.0
7421,Le-Coin-Fm.,3.0
7422,"Bärschwil-, St-Ursanne- und Pichoux-Fm.",3.0
7423,Passwang- bis Ifenthal-Fm.,3.0
7424,Calcaire à Entroques,3.0
7425,Staffelegg-Fm. und Opalinus-Ton,2.0
7426,Schafisheim-Syenit,4.0
7427,Pfaffnau-Granit,4.0
7428,Zurzach-Granit,4.0
7429,Siblingen-Granit,4.0
7435,Lindau-Granit,4.0
7437,Kreuzlingen-Granit,4.0
7432,Schlächtenhaus-Schiefer,4.0
7433,Gersbach-Schiefer,4.0
7434,Herdern-Streifengneis,5.0
7738,Courgenay- Balsthal- und VilligenFm.,4.0
7739,Pichoux-Fm.: Korallenfazies,4.0
7740,Pichoux-Fm.: Schwammfazies,4.0
8258,Kalter-Wangen-Fm.: Konglomerat-dominierte Fazies,4.0
8052,Kalter-Wangen-Fm.: Sandstein-Mergelstein-dominierte Fazies,4.0
8260,Kalter-Wangen-Fm.: Heilsberg-Bentonit,5.0
8261,OSM: Humlikon-Bentonit,3.0
730,Quinten-Fm.: Mergelband,4.0
731,Schilt-Fm.,3.0
732,Schilt-Fm.: Mürtschen-Mb.,4.0
733,Schilt-Fm.: Mergelstein-dominierte Fazies,4.0
734,Schilt-Fm.: Kalkstein-dominierte Fazies,4.0
735,Schilt-Fm.: Seeztal-Mb.,4.0
736,Schilt-Fm.: Windgällen-Mb.,4.0
737,Helvetikum: Dogger,2.0
738,Erzegg-Fm.,3.0
739,Reischiben-Fm.,3.0
740,Reischiben-Fm.: Blegi-Eisenoolith,4.0
741,Reischiben-Fm.: Bannalp-Konglomerat,4.0
742,Reischiben-Fm.: Guppen-Fossilhorizont,4.0
743,Reischiben-Fm.: Gursbach-Fossilhorizont,4.0
744,Hochstollen-Fm.,3.0
745,Hochstollen-Fm.: Schwarzhorn-Mb.,4.0
746,Hochstollen-Fm.: Bietenhorn-Mb.,4.0
747,Bommerstein-Fm.,3.0
748,Bommerstein-Fm.: Mols-Mb.,4.0
749,Dugny-Fm.,3.0
832,Guttannen-Gneiskomplex,2.0
833,Straligenstöckli-Gneiskomplex,2.0
834,Lötschental-Gneiskomplex,2.0
835,Ofenhorn-Stampfhorn-Gneiskomplex,2.0
836,Fully-Granodiorit,2.0
837,Vernayaz-Fm.: Salvan-Mb.: Plex-Aboyeu-Rhyolith,2.0
838,Vallorcine-Granit,2.0
839,Vallorcine-Granit: Miéville-Mylonit,3.0
840,Montées-Pélissiers-Granit,2.0
841,Pormenaz-Granit,2.0
844,Emosson-Gneiskomplex,2.0
845,Luisin-Orthogneis,2.0
846,Val-Bérard-Gneiskomplex,2.0
847,Lac-Cornu-Eklogit,2.0
848,Perrons-Orthogneis,2.0
849,Breya-Rhyolith,2.0
850,Mont-Blanc-Granit,2.0
851,Montenvers-Granit,2.0
852,Lognan-Orthogneis,2.0
853,Pétoudes-Orthogneis,2.0
854,Gotthard-Decke: Postvariszische Intrusiva,1.0
855,Rotondo-Granit,2.0
858,Cacciola-Granit,2.0
859,Sädelhorn-Diorit,2.0
860,Winterhorn-Granit,1.0
861,Gotthard-Decke: Spätvariszische Intrusiva,1.0
862,Medel-Granit,2.0
