OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
16249,{770AFED6-20C7-48D3-BFE3-FD8F80A2FE44},,,,,,,,
2997,{BF5B9B9D-15F2-486B-A469-8804492223BE},15255272.0,15203208.0,15001085.0,15001119.0,15111277.0,15111505.0,15111028.0,15285001.0
2998,{F0098318-DC74-49DD-B47F-93145BA22C41},,15203209.0,15001119.0,15001119.0,15111548.0,,,15287001.0
2141,{ECACC062-8CA2-47BA-BC49-39F647F956B3},,15203210.0,15001042.0,15001044.0,15111252.0,15111074.0,15111102.0,15285025.0
2142,{0F8C9E88-4379-4B35-A7CB-DA343197429F},15255277.0,15203211.0,15001046.0,15001048.0,15111056.0,15111221.0,15111123.0,15285001.0
2143,{DD032E87-C678-4AAE-91AD-E912FFE10532},15255278.0,15203212.0,15001057.0,15001060.0,15111075.0,15111247.0,15111037.0,15285036.0
2144,{C91A3D51-DACA-4677-933F-0796363BCCDD},15255279.0,15203213.0,15001060.0,15001061.0,15111247.0,15111012.0,15111102.0,15285030.0
2145,{A884D238-0158-4AF3-8C74-97B9F9B8C466},15255280.0,15203214.0,15001061.0,15001064.0,15111221.0,15111209.0,15111116.0,15285030.0
2146,{A9857961-2471-4E3C-AFC7-FBB21DF83F2D},15255281.0,15203215.0,15001064.0,15001067.0,15111234.0,15111012.0,15111132.0,15285030.0
2147,{E057905E-F272-4A2D-A59B-B6084EDD6EBA},15255282.0,15203216.0,15001067.0,15001068.0,15111017.0,15111056.0,15111209.0,15285035.0
2148,{C2155123-1DA3-46F0-A61A-676B74095226},15255283.0,15203217.0,15001068.0,15001069.0,15111132.0,15111221.0,15111189.0,15285035.0
2149,{A1964353-4190-4186-B1A9-598CA956044C},15255284.0,15203218.0,15001069.0,15001076.0,15111168.0,15111102.0,15111017.0,15285043.0
2150,{9E65B2E1-8DF4-4049-A343-1323FD8866E6},,15203219.0,15001044.0,15001046.0,15111123.0,15111044.0,15111209.0,15285025.0
