OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
3305,{D9C8F707-CE74-462A-8FBB-5C70CEA34EB2},,2025-05-19 22:23:15.000001,2025-05-19 22:23:15.000001,,,,,,,,,,,,,,,,,15111006.0,Brekzie: siltig,15111019
3306,{FE63EE8E-0BAE-47F4-ABDB-1B6D4C7FB7B1},,2025-05-19 22:23:16.000000,2025-05-19 22:23:16.000000,,,,,,,,,,,,,,,,,15111005.0,Brekzie: pyroklastisch,15111020
3307,{C3692DA2-DF74-43F9-9726-8D71024C240E},,2025-05-19 22:23:16.000000,2025-05-19 22:23:16.000000,,,,,,,,,,,,,,,,,15111020.0,Brekzie: rhyolithisch,15111021
3308,{5BBFD7A7-7E58-4A60-8B40-64513F53F7EA},,2025-05-19 22:23:16.000000,2025-05-19 22:23:16.000000,,,,,,,,,,,,,,,,,15111020.0,Brekzie: tuffitisch,15111022
3309,{C1CF7FD7-BE16-4018-9C1B-BBF862375577},,2025-05-19 22:23:17.000000,2025-05-19 22:23:17.000000,,,,,,,,,,,,,,,,,15111005.0,Brekzie: tektonisch,15111023
3310,{99D4E27D-9053-4468-8D9D-35DA8EA43207},,2025-05-19 22:23:17.000000,2025-05-19 22:23:17.000000,,,,,,,,,,,,,,,,,15111023.0,Brekzie: kakiritisch,15111024
3311,{B5087B60-96D4-4DDD-A151-35B349D3BEA5},,2025-05-19 22:23:17.000000,2025-05-19 22:23:17.000000,,,,,,,,,,,,,,,,,15111023.0,Brekzie: kataklastisch,15111025
3312,{2F7218D6-D144-4F76-9F97-228ED1CA2CBD},,2025-05-19 22:23:18.000000,2025-05-19 22:23:18.000000,,,,,,,,,,,,,,,,,15111025.0,Brekzie: kataklastisch-dolomitisch,15111026
3313,{D464D164-FAA5-4272-9FF4-33B605062272},,2025-05-19 22:23:18.000000,2025-05-19 22:23:18.000000,,,,,,,,,,,,,,,,,15111025.0,Brekzie: kataklastisch-kalkig,15111027
3314,{84024AB0-F942-41AB-8638-5731520621F7},,2025-05-19 22:23:18.000000,2025-05-19 22:23:18.000000,,,,,,,,,,,,,,,,,15111004.0,Konglomerat,15111028
