OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
3864,{65544714-7290-4B5E-B51F-D1CF7C034CB6},,2025-05-19 22:23:15.000001,2025-05-19 22:23:15.000001,,,,,,,,,,,,,,,,,15111006.0,Brekzie: siltig,15111019.0
3865,{F01D78E7-44FA-4F0C-895D-A3246755D487},,2025-05-19 22:23:16.000000,2025-05-19 22:23:16.000000,,,,,,,,,,,,,,,,,15111005.0,Brekzie: pyroklastisch,15111020.0
3866,{CBEB2A0B-D234-49E4-B330-CC850745DF8A},,2025-05-19 22:23:16.000000,2025-05-19 22:23:16.000000,,,,,,,,,,,,,,,,,15111020.0,Brekzie: rhyolithisch,15111021.0
3867,{9021BE6B-14FA-47FF-860C-46C1B7D59211},,2025-05-19 22:23:16.000000,2025-05-19 22:23:16.000000,,,,,,,,,,,,,,,,,15111020.0,Brekzie: tuffitisch,15111022.0
3868,{546A1DD2-BBBD-4CE5-BB63-ED22C4222C7A},,2025-05-19 22:23:17.000000,2025-05-19 22:23:17.000000,,,,,,,,,,,,,,,,,15111005.0,Brekzie: tektonisch,15111023.0
3869,{6DA0E6D6-DBCB-41C3-9796-B7338582D3B3},,2025-05-19 22:23:17.000000,2025-05-19 22:23:17.000000,,,,,,,,,,,,,,,,,15111023.0,Brekzie: kakiritisch,15111024.0
3870,{800FA257-739A-404D-ABEE-7670686DE06F},,2025-05-19 22:23:17.000000,2025-05-19 22:23:17.000000,,,,,,,,,,,,,,,,,15111023.0,Brekzie: kataklastisch,15111025.0
3871,{8FEFA685-F532-4C6D-B89B-8A09B8146D0F},,2025-05-19 22:23:18.000000,2025-05-19 22:23:18.000000,,,,,,,,,,,,,,,,,15111025.0,Brekzie: kataklastisch-dolomitisch,15111026.0
3872,{BB6012FF-7F7E-401F-9798-D1D28DE9AB92},,2025-05-19 22:23:18.000000,2025-05-19 22:23:18.000000,,,,,,,,,,,,,,,,,15111025.0,Brekzie: kataklastisch-kalkig,15111027.0
3873,{128BE81E-7667-40CE-917E-CD6DBC739BF1},,2025-05-19 22:23:18.000000,2025-05-19 22:23:18.000000,,,,,,,,,,,,,,,,,15111004.0,Konglomerat,15111028.0
3874,{4C1BDD67-DA8A-4B00-89DC-8F9DCB609182},,2025-05-19 22:23:19.000000,2025-05-19 22:23:19.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: dolomitisch,15111029.0
3875,{4E06AEDA-38E2-457D-8439-C0E482F0C965},,2025-05-19 22:23:19.000000,2025-05-19 22:23:19.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: kalkig,15111030.0
3876,{C810B15D-B678-47BC-B625-71F16FE2F2EE},,2025-05-19 22:23:19.000000,2025-05-19 22:23:19.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: kalkig: Muscheln,15111031.0
3877,{15B04D02-B2AE-42E6-B312-0AB4F7252F42},,2025-05-19 22:23:19.000000,2025-05-19 22:23:19.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: kalkig-dolomitisch,15111032.0
3878,{C1B96534-FA0B-4BB9-A3E7-23B4C973B18F},,2025-05-19 22:23:20.000000,2025-05-19 22:23:20.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: kalkig-residual: Eisenpisoide,15111033.0
3879,{F850F24D-C8E6-4F89-9709-9FC77BDB34A8},,2025-05-19 22:23:20.000000,2025-05-19 22:23:20.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: kristallin,15111034.0
3880,{90D0CEF3-2684-4077-82B2-AC217B962A9F},,2025-05-19 22:23:20.000000,2025-05-19 22:23:20.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: monomikt,15111035.0
3881,{AD117F7A-AE2C-4CFE-97A6-7E717744C735},,2025-05-19 22:23:21.000000,2025-05-19 22:23:21.000000,,,,,,,,,,,,,,,,,15111028.0,Konglomerat: ophiolithisch,15111036.0
3976,{93A2ABA6-538A-4672-974C-4E38FF22E5D5},,2025-05-19 22:23:51.000000,2025-05-19 22:23:51.000000,,,,,,,,,,,,,,,,,15111102.0,Tonstein: tuffitisch,15111131.0
3977,{19822317-DA34-453C-B423-B52BADF35FFE},,2025-05-19 22:23:51.000000,2025-05-19 22:23:51.000000,,,,,,,,,,,,,,,,,15111089.0,Mergelstein,15111132.0
3978,{E6052CA4-2B32-45B9-8A7C-879EAEC65515},,2025-05-19 22:23:52.000000,2025-05-19 22:23:52.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: Bioklasten,15111133.0
3979,{A119C5D6-E82D-42EF-A35D-26623D637D3D},,2025-05-19 22:23:52.000000,2025-05-19 22:23:52.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: Bioklasten-Ooide,15111134.0
3980,{BD86E018-1A79-4432-9443-95FFB2600821},,2025-05-19 22:23:52.000000,2025-05-19 22:23:52.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: Bitumen,15111135.0
3981,{EB6583B8-5AC8-402B-9099-16C8A1A2B467},,2025-05-19 22:23:53.000000,2025-05-19 22:23:53.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: dolomitisch,15111136.0
3982,{FC6E279E-EAB7-479A-86E3-241DDE936118},,2025-05-19 22:23:53.000000,2025-05-19 22:23:53.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: Eisenooide,15111137.0
3983,{D335C841-6B16-4A7E-90C0-032E1C509BE7},,2025-05-19 22:23:53.000000,2025-05-19 22:23:53.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: Gips,15111138.0
3984,{30930F49-E55D-4078-A081-59275CDA9346},,2025-05-19 22:23:54.000000,2025-05-19 22:23:54.000000,,,,,,,,,,,,,,,,,15111132.0,Mergelstein: Glaukonit,15111139.0
