OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
26,{AA4A830B-9A11-4201-98AF-1C8DD8D5A67B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15101001.0,"lakustrisches Sediment, undifferenziert",15101044
28,{E429955C-D05D-4CDE-88B1-2CC28A7E0FEB},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101044.0,detritische Verlandungsbildung,15101049
30,{2B79C2D6-FA91-4FB3-BD2A-14BE2173B386},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101044.0,Strandablagerungen,15101056
31,{ED75FDF8-15E2-497C-B81D-F56898178CD7},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101044.0,lakustrisches Deltasediment,15101057
32,{5807087F-2206-417D-A02C-049EA8C9F3F3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101044.0,Seebodensediment,15101058
33,{F82FC700-CD2A-4E9B-97C4-FEA10F61DF61},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101044.0,Seekreide,15101059
34,{25BCB76E-5AA8-48A5-8D90-AC58A1955B8D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101050.0,"palustrisches Sediment, undifferenziert",15101051
35,{E8389AD0-44E0-4460-95B2-6C74C7E0FCF9},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101050.0,Gyttja,15101079
36,{D7A18A79-2319-4F67-925E-929AF468B3D4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101050.0,Sumpf,15101052
37,{AC09C2FF-A45C-4E77-8A48-2C93ED63F9FD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101050.0,"Torfmoor, Torf",15101053
38,{E5667EC5-EA70-467D-A886-140466A71366},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101050.0,Lignit (palustrisches Sediment),15101054
39,{948321C8-3731-4584-AAA5-B1EB0A2582AF},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15101001.0,"äolisches Sediment, undifferenziert",15101061
40,{5392A048-077A-41A1-BF9D-0487FC7A5484},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101061.0,"äolischer Sand, Flugsand",15101062
41,{4223BE09-BAD4-4745-BE97-6324D3AF35E4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101061.0,"Löss, Lösslehm",15101063
42,{AED02FBE-6801-49CB-B05A-2FE2FACC97F9},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15101061.0,vulkanische Asche,15101065
43,{153994D2-0674-457C-BCA1-CD07921AC2BA},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15101001.0,"anthropogene Elemente, undifferenziert",15101067
