OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
1,{8F96F03C-153A-4841-8BF1-C0643F414EF7},,2025-05-19 22:13:57.000000,2025-05-19 22:13:57.000000,,,,,,,,,,,,,,,,1,0.0,Rossemaison-Formation,15251001
2,{91B0D9AC-DFD5-41F0-8BC8-EF3347C80BC4},,2025-05-19 22:13:58.000000,2025-05-19 22:13:58.000000,,,,,,,,,,,,,,,,3,15251001.0,Courcelon-Süsswasserkalk,15251002
3,{9D5D2E43-0025-4AA3-B81C-DEE9D4654828},,2025-05-19 22:13:58.000000,2025-05-19 22:13:58.000000,,,,,,,,,,,,,,,,1,0.0,Erzmatt-Krustenkalk,15251003
4,{65FB24F3-B14C-4C9B-BA51-A2C0F7F00080},,2025-05-19 22:13:58.000000,2025-05-19 22:13:58.000000,,,,,,,,,,,,,,,,1,0.0,Oberdorf-Süsswasserkalk,15251004
5,{5674B06A-08BE-491E-8D04-A0A072146141},,2025-05-19 22:13:58.000000,2025-05-19 22:13:58.000000,,,,,,,,,,,,,,,,1,0.0,Diegten-Süsswasserkalk,15251005
6,{83BA65E8-A00B-44CC-8552-92C2EB390DF4},,2025-05-19 22:13:59.000000,2025-05-19 22:13:59.000000,,,,,,,,,,,,,,,,1,0.0,La-Charrue-Süsswasserkalk,15251006
7,{397ED918-78A9-4B96-A1FD-0EED42F503EC},,2025-05-19 22:13:59.000000,2025-05-19 22:13:59.000000,,,,,,,,,,,,,,,,1,0.0,Champ-Vuillerat-Süsswasserkalk,15251007
8,{BB9A8E3C-C0E5-413C-AD00-F66CC8B31112},,2025-05-19 22:13:59.000000,2025-05-19 22:13:59.000000,,,,,,,,,,,,,,,,1,0.0,La-Verrerie-Süsswasserkalk,15251008
9,{B3056849-16DB-4155-8DAF-5B8473D8FB8A},,2025-05-19 22:13:59.000000,2025-05-19 22:13:59.000000,,,,,,,,,,,,,,,,1,0.0,«Daubrée-Konglomerat»,15251009
10,{CBEE1D54-3C42-4FBA-A0AD-3B320E492E1E},,2025-05-19 22:13:59.000000,2025-05-19 22:13:59.000000,,,,,,,,,,,,,,,,1,0.0,Narlay-Formation,15251010
