OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,PARENT_REF,DESCRIPTION,GEOLCODE
82,{CCB15E0E-98F6-4432-AEB2-2FFC3473DF62},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201050.0,Birrfeld- und Klettgau-Paläoböden,15201052
83,{B12DBC6D-F9DF-4D26-85D4-E5A3CC04B49F},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Klettgau-Schotter,15201045
84,{9465341A-B0A2-4AB3-83EE-0C22753DE0A9},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201045.0,Obere Klettgauschotter,15201046
85,{8C5957B8-F0AE-4764-B35C-8A6D951DBBC7},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201045.0,Glazi-lakustrische Serie,15201047
86,{9FA89194-223E-4840-A4F1-1928D93860A3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201045.0,Mittlere Klettgauschotter,15201048
87,{66F9AA9D-D47A-43A2-8734-F1EB0893C209},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201045.0,Untere Klettgauschotter,15201049
88,{26839B46-2AAB-4E62-A110-8542BDEDF0B4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Enge-Schotter,15201159
89,{D8A59E04-7D92-4181-A9E3-44B082E956AB},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Attiswil-Schotter,15201160
90,{32A766D2-22F9-40DA-9178-90712B5407B4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201160.0,Lommiswil-Schotter,15201161
91,{C424A1B2-4928-469D-AFA7-F109A8B7E38F},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Oensingen-Moos-Lehm,15201162
92,{DE280D91-09A4-422C-8269-C350837D4FC8},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Berken-Schotter,15201163
93,{6FEAECB9-DD26-4FC0-8EE6-F9711AB46DDD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Berken-Sand,15201164
94,{580E1C10-FE8E-4D3C-BCAD-743DFF756666},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Schwarzhäusern-Lehm,15201165
95,{2CE1986B-598E-4B5F-BBDA-89938E6DC56E},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Käppelihof-Schotter,15201166
96,{7744B5BE-3722-40EB-9E3B-E513C16FD0F0},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Aarburg-Schotter,15201167
97,{F0AB65BF-F6F3-4C0F-A6D7-A7A2CAB8C189},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Tuileries-Formation,15201168
98,{5A296D10-0DFB-45E8-B07A-B4C27978C99E},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Grandson-Formation,15201169
99,{E6EBFF13-A322-4732-87E8-59E92B7CDB98},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Poissine-Formation,15201170
100,{61DA0B9D-19C2-4B0B-BBA7-BA6B5B63F376},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,15201003.0,Beringen-Eiszeit,15201053
101,{623AEBBA-4CE2-43B2-B660-033D39B787F4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Surbtal-Lehm,15201171
102,{AFCB0D01-222E-4599-A8C4-DBA2038A846A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Surbtal-Till,15201172
103,{E8FB4DEB-D2E7-423A-9D44-28C82A14B537},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Surbtal-Schotter,15201173
104,{A7278120-C82C-4410-B5FE-6C99D9FE0ED2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Fislisbach-Schotter,15201174
105,{4373F929-F335-4B95-82DE-771CB611D9D2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Entfelden-Schotter,15201054
106,{AB0F0992-F9A7-4F3E-A51A-BBF60E1044BE},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Aarau-Schotter,15201055
107,{95CA3418-DBCA-45D1-B09C-7AE087B7B011},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Suhr-Schotter,15201056
108,{80F3F1B3-ED78-4D36-BC55-5A983D05D7B6},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Veltheim-Schotter,15201057
109,{1583392D-F0D2-4FF0-B584-02C11FB45A52},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Stüsslingen-Schotter,15201058
110,{17253487-DE29-43C3-B602-8D173B21416D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Langwiesen-Vergletscherung,15201059
111,{9CBC4982-094B-437C-B40C-C0741B33D503},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,15201059.0,Langwiesen-Vorstoss,15201060
112,{6B168CF8-03AE-4755-B4B6-7C6A36922677},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,15201060.0,Schaffhausen-Schotter,15201061
113,{760A06C1-FE9F-461C-A095-0527CC8B72BE},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,15201059.0,Reuenthal-Vorstoss,15201062
114,{52E2349B-30ED-44EF-951A-13A1D36C75DD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,15201062.0,Lupfig-Schotter,15201063
115,{DA183C76-BDF1-4624-AA0E-2ED642F48316},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,15201053.0,Löhningen-Engiwald-Vergletscherung,15201064
116,{08D23D94-9773-4B4F-963D-A5F8CFE78398},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,15201064.0,Engiwald-Vorstoss,15201065
117,{0A202E2D-45CA-46BD-9968-5DEABF7970F6},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,15201064.0,Rüfenach-Vorstoss,15201066
118,{E574F37B-1ADA-41E3-AE13-9D872B389888},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,15201066.0,Reusstal-Sand,15201175
