OBJECTID,DESCRIPTION,TREE_LEVEL,PARENT_REF
4157,Autochthones Nordalpines Vorland,1,
4158,Bresse-Graben,2,15309001.0
4159,Haute-Saône-Tafel,2,15309001.0
4160,Oberrhein-Graben,2,15309001.0
4161,Süddeutsche Tafel,2,15309001.0
4162,Hegau-Bodensee-Graben,3,15309005.0
4163,Übergangszone zwischen Abgeschertem und Autochthonem Vorlandplateau,1,
4164,Abgeschertes Nordalpines Vorland,1,
4165,Externer Faltenjura,2,15309008.0
4166,Faisceaux,3,15309009.0
4167,Plateaux,3,15309009.0
4168,Interner Faltenjura und Vorlandplateau,2,15309008.0
4169,Subalpine Molasse,2,15309008.0
4170,Marbach-Berneck-Dreieckzone,3,15309013.0
4171,Subalpiner Schuppenkomplex,3,15309013.0
4172,Belmont-Schuppe,4,15309015.0
4173,Lutry-Thonon-Schuppe,4,15309015.0
4174,Brécorens-Lucinges-Schuppe,4,15309015.0
4175,Cully-Schuppe,4,15309015.0
4176,Lavaux-Schuppe,4,15309015.0
4177,Mont-Pèlerin-Schuppe,4,15309015.0
4178,Vevey-Evian-Schuppe,4,15309015.0
4179,Gérignoz-La-Roche-Schuppe,4,15309015.0
4180,Vaulruz-Schuppe,4,15309015.0
4181,Champotey-Ramsera-Schuppe,4,15309015.0
4182,La-Pattaz-La-Holena-Schuppe,4,15309015.0
4183,Villarvolard-Schuppe,4,15309015.0
4184,Seftigschwand-Schuppe,4,15309015.0
4185,Giebelegg-Schuppe,4,15309015.0
4186,Steffisburg-Schuppe,4,15309015.0
4187,Schangnau-Schuppe,4,15309015.0
4198,«Zone Kronberg-Süd»,4,15309015.0
4199,Schorhüttenberg-Schuppe,4,15309015.0
4200,Speer-Stockberg-Schuppe,4,15309015.0
4201,Chräzerli-Schuppe,4,15309015.0
4202,Hirschberg-Schuppe,4,15309015.0
4203,Hölzliberg-Schuppe,4,15309015.0
4204,Eichberg-Schuppe,4,15309015.0
4205,Helvetikum,1,
4206,Unterhelvetikum,2,15309049.0
4207,Subalpine Flysch-Zone,3,15309050.0
4208,Externe Einsiedeln-Schuppen,4,15309051.0
4209,Belledonne-Massiv,3,15309050.0
4210,Externes Belledonne-Massiv,4,15309053.0
4211,Mittleres Belledonne-Massiv,4,15309053.0
4212,Internes Belledonne-Massiv,4,15309053.0
4213,Aiguilles-Rouges-Massiv,3,15309050.0
4214,Mont-Blanc-Massiv,3,15309050.0
4215,Externes Mont-Blanc-Massiv,4,15309058.0
4216,Internes Mont-Blanc-Massiv,4,15309058.0
4217,Aar-Massiv,3,15309050.0
4218,Externes Aar-Massiv,4,15309061.0
4219,Gastern-Teilmassiv,4,15309061.0
4220,Internes Aar-Massiv,4,15309061.0
4221,Baltschieder-Gletsch-Teilmassiv,5,15309064.0
4222,Trun-Punteglias-Teilmassiv,5,15309064.0
4223,Kaminspitz-Schuppe,4,15309061.0
4224,Stelli-Schuppe,4,15309061.0
4225,Orglen-Schuppen (Aar-Massiv-Anteil),4,15309061.0
4188,Hornbüel-Schuppenzone,4,15309015.0
4189,Blueme-Beichle-Schuppe,4,15309015.0
4190,Wolfsegg-Schuppe,4,15309015.0
4191,Ralligen-Schuppenzone,4,15309015.0
4192,Hilfern-Schuppe,4,15309015.0
4193,Höhronen-Schuppe,4,15309015.0
4194,St.-Jost-Schuppe,4,15309015.0
4195,Rigi-Rossberg-Schuppe,4,15309015.0
4196,Gäbris-Schuppe,4,15309015.0
4197,Kronberg-Schuppe,4,15309015.0
4264,Marchegghorn-Schuppe (Sardona-Anteil),4,15309107.0
4265,Orglen-Schuppen (Sardona-Anteil),4,15309107.0
4266,Calanda-Schuppe (Sardona-Anteil),4,15309107.0
