OBJECTID,GEOL_CODE_INT,PARENT_REF,GEOL_CODE,GERMAN,TREE_LEVEL
1,15301001,0.0,Vtec401001,Abgeschertes Nordalpines Vorland,1
9,15301022,15301001.0,Vtec401022,Avant-Monts-Zone,2
3,15301023,15301001.0,Vtec401023,Interner Faltenjura,2
4,15301024,15301001.0,Vtec401024,Externer Faltenjura,3
6,15301025,15301024.0,Vtec401025,Faisceaux,4
7,15301026,15301024.0,Vtec401026,Plateaus,4
317,15301027,15301024.0,Vtec401027,Abgescherter Tafeljura,3
8,15301030,15301001.0,Vtec401030,Vorlandplateau,2
2895,15301031,15301022.0,Vtec401031,Vorfaltenzone,3
1948,15301116,15301001.0,Vtec401116,Subalpine Molasse,2
1949,15301118,15301143.0,Vtec401118,Rigi-Rossberg-Schuppe,4
1950,15301119,15301143.0,Vtec401119,St.-Jost-Schuppe,4
1917,15301120,15301143.0,Vtec401120,Höhronen-Schuppe,4
1918,15301121,15301143.0,Vtec401121,Speer-Stockberg-Schuppe,4
1919,15301122,15301143.0,Vtec401122,Schorhüttenberg-Schuppe,4
1920,15301123,15301143.0,Vtec401123,Chräzerli-Schuppe,4
1921,15301124,15301143.0,Vtec401124,Kronberg-Schuppe,4
1922,15301125,15301143.0,Vtec401125,«Zone Kronberg-Süd»,4
1923,15301126,15301143.0,Vtec401126,Gäbris-Schuppe,4
1924,15301127,15301143.0,Vtec401127,Blueme-Beichle-Schuppe,4
1925,15301128,15301143.0,Vtec401128,Hilfern-Schuppe,4
1926,15301129,15301143.0,Vtec401129,Hornbüel-Schuppenzone,4
1927,15301130,15301143.0,Vtec401130,Schangnau-Schuppe,4
1928,15301131,15301143.0,Vtec401131,Belmont-Schuppe,4
1929,15301132,15301143.0,Vtec401132,Lutry-Thonon-Schuppe,4
1930,15301133,15301143.0,Vtec401133,Cully-Schuppe,4
1931,15301134,15301143.0,Vtec401134,Lavaux-Schuppe,4
1932,15301135,15301143.0,Vtec401135,Mont-Pèlerin-Schuppe,4
1933,15301136,15301143.0,Vtec401136,Vevey-Evian-Schuppe,4
1934,15301137,15301143.0,Vtec401137,Gérignoz-La-Roche-Schuppe,4
1935,15301138,15301143.0,Vtec401138,Vaulruz-Schuppe,4
1936,15301139,15301143.0,Vtec401139,Champotey-Ramsera-Schuppe,4
1937,15301140,15301143.0,Vtec401140,La-Pattaz-La-Holena-Schuppe,4
1938,15301141,15301143.0,Vtec401141,Villarvolard-Schuppe,4
1939,15301142,15301116.0,Vtec401142,Marbach-Berneck-Dreieckzone,3
1940,15301143,15301116.0,Vtec401143,Subalpiner Schuppenkomplex,3
2880,15301144,15301143.0,Vtec401144,Seftigschwand-Schuppe,4
2878,15301145,15301143.0,Vtec401145,Steffisburg-Schuppe,4
2879,15301146,15301143.0,Vtec401146,Wolfsegg-Schuppe,4
2877,15301147,15301143.0,Vtec401147,Ralligen-Schuppenzone,4
