OBJECTID,UUID,FMAT_LITSTRAT
957,{40A5F73C-9D35-4A2A-AE19-DBA472E1580B},15200348
2,{ED457DD1-31B9-4051-B15F-5B729C021EA1},15200373
958,{C38F37C5-7564-4865-91E3-2411B97F4F44},15200349
4,{33DEAD1B-5528-497E-A5A4-C7F83D3DA777},15200228
5,{03CC6DE4-8B33-48AC-8BA9-73527A5EF3E8},15200047
959,{D03A422F-4375-4CFF-8C49-02D271B35B9C},15200350
960,{181B96B8-7CBB-4FD0-B0E7-98142ECFF3AE},15200351
961,{DEF10D3B-76AD-47E0-B3F4-AD091037E2FC},15200352
962,{60A924D4-16C0-4260-8C5C-F95814A8E551},15200353
11,{560FA767-E022-4587-895C-7C4DD0A0C9FF},15200128
963,{F3425D0B-BBFD-4B2F-A0DA-92C07E75299D},15200354
964,{63A9D03C-B760-482A-B05D-FE82E9D007C2},15200355
14,{1EC610A7-BE0B-43AB-B9E9-60C6268256F9},15200396
965,{FA93C81C-E806-4F76-8DB1-EC2BE6D6D2DC},15200356
17,{645DDD7E-9598-4680-B513-A938F45B86D3},15200127
18,{7244C024-A98C-4563-A6D0-0F4427575C22},15200208
966,{758E44BA-0DAE-426C-9659-200DDEAC9946},15200357
20,{00EB9F8A-4892-4DFD-8203-2F9F8E8FDC3A},15200124
967,{9EE2AFFB-8685-42B5-9C1C-221CAA5B5A62},15200358
22,{C3F30BD2-729C-4F77-961E-ACA2889406BC},15200385
23,{A7B8A0C8-BD66-4262-8BBB-B7282F96EAEF},15200046
24,{6D4D2272-5AFE-4915-9880-D49AD43DEE13},15200049
968,{0CC81EBF-1ACD-4873-A0FE-87332A5374F9},15200359
29,{06E641F5-82FE-4D0B-9E69-3620F529093C},15200143
30,{65F1099F-B297-4D6E-8650-69AF67A3146E},15200029
969,{B624883E-474A-4E7A-897B-D5AA94BD956B},15200360
32,{75FC50F7-8529-4DD1-AA66-8298DBFB0894},15200036
33,{544E42FF-61EB-449A-A214-C707968BB763},15200014
34,{82DB8B68-C32C-49F4-A886-623FA8B451C3},15200098
970,{A410E1C3-E8DA-4BC6-A943-AC2B5DFCE59C},15200361
36,{FD612B8F-0C22-4281-92EB-1308E3A4BC7A},15200035
38,{831EFF72-EB5D-4A1E-9810-6EE64DBDD167},15200024
39,{20797BEC-9F3F-4286-BBF1-B7E0B6381133},15200003
971,{D8B4FB54-EE8C-45D8-91F1-022817CBA68F},15200362
972,{BC1D9406-A754-4188-A0E2-1264132140A5},15200368
42,{517F6A82-2FA7-4EB9-97AC-CF0B860F805F},15200112
973,{1D11922E-4B5C-4D08-9AFA-210D51A964C9},15200369
44,{3A9290F5-E9F6-4342-A046-7B687604A294},15200387
45,{E54C8B6D-E586-4987-88FB-8B8EB1A6228B},15200344
47,{AB9EA49C-90CA-4B0B-85B5-7006C3139541},15200216
48,{5B8A97F5-F241-4CDE-8636-88F3A8071B81},15200115
49,{E4753E80-8816-4A32-9C3D-B5EB613C8C35},15200210
974,{1A259FC2-2FCE-4383-8D76-A7C4C3372FA1},15200378
975,{0EA44470-496B-4744-9264-31ABD59888FB},15200379
52,{8ED8BFB4-8911-417D-84C8-C7E0DE2632F3},15200023
976,{52339613-9D97-4852-9A1E-2CD724EEED39},15200383
54,{13071F95-957D-4C89-9DBA-233D3E1D22C3},15200196
55,{57E6654E-0D62-445A-B636-DF50916A534B},15200364
57,{54341D15-1020-4273-8641-7E3BCEE312AE},15200330
58,{857ADD7C-FA13-4F13-BA97-9E4E15166C07},15200082
977,{4BC21F15-D77B-4E27-9A24-914FF2BEE700},15200384
978,{F49E362D-31D3-4122-BD84-01F728CC75C6},15200388
979,{29918C10-4706-4296-A5FD-B29851FBDF5C},15200393
63,{33AD8A8A-6037-4115-961B-6BCAD6DE0FCB},15200113
66,{396127EA-7610-457B-85D6-2EB50FF7EC6D},15200116
980,{9A3DC587-752E-4338-B9D9-7EB9AF9E31F6},15200395
68,{5D539835-1422-495E-AB2D-16DF5B951269},15200200
70,{ADA1F350-AF80-449B-8ACE-E3CB1DC7367B},15200156
71,{BEB4187C-C662-4F53-9ADF-3A2B89E1A182},15200092
72,{E0C1F139-145D-404A-8070-9FDA2F1A9A2D},15200096
74,{C6BCF23F-DD1D-4E3D-8B9A-1DB5E9D928E7},15200150
75,{1C531426-3C19-4CDB-9F2F-0FE2B4373CDF},15200060
76,{600DE6C2-CE60-4665-8D9F-48528AE2FA8F},15200392
77,{986465B1-E166-43A8-A866-7216C06D682D},15200037
78,{B9242A63-A992-4073-A522-F3809724F8FA},15200063
81,{6BB9A074-6877-475E-8554-7731D04682E2},15200422
83,{82E1F256-E14A-47FD-B2BE-7BA724F8BFB9},15200207
85,{9847B1E4-A669-496D-B06D-FAC34B4C4791},15200081
86,{76F72FC8-D645-45FD-B810-0656ACE65821},15200099
87,{50EF7015-970E-41D3-B507-AB82B16E1471},15200160
88,{AF1A0228-BDD1-4A65-8AB5-AE2C3AB063A2},15200118
89,{15907597-23F3-4718-9995-CA0A54BBCB41},15203110
90,{DEA58BD7-1943-42B7-BBEF-0F373DC10D6C},15200090
91,{859674A4-EA4F-4BD9-8459-F486571EB7CF},15200069
92,{83AE2FED-C7F5-49A1-8A9E-D405D3520DA9},15200030
98,{2681A61E-E0DF-4BB7-BB25-AA49EC31A827},15200068
99,{FEF5B6CB-3BAF-457B-A9EB-16B86F8C4991},15200190
102,{BAFFA56A-686C-4FE7-AF24-28A69C37EF8C},15200066
103,{35ADF386-AB9F-49BD-8A4C-4CD2E5393138},15200007
104,{F9DFBDAF-CCDF-4CE3-B98B-FDD781C325C3},15200399
105,{39DDF7C2-FCA3-4635-B135-813F253DC55D},15200226
107,{2801A61E-3957-4C51-A33B-FB53EA74C509},15200147
108,{DED3E2E9-A0E1-4D7E-A237-A47E58F1C03F},15200125
110,{354EDEF4-B9B2-40A8-9672-4B04CE875FFA},15200120
111,{8C98544A-652F-4143-A130-A8BB4716EF2D},15200108
112,{6E8B4CCB-0E54-458C-84A9-5B05E9AF1AE7},15200121
113,{F3EC339C-88BA-4BD6-97C8-AA742A4AB46B},15200109
114,{FCB7D49F-9B99-4226-A9CE-776B3E5DB9D8},15200027
115,{C441945A-3BA1-42D2-897A-F27670B08AA4},15200094
116,{6E6F799A-F5A2-43DE-B365-B156BF5C05B1},15200191
117,{09EF1CB0-290E-4C9D-8613-2667AD398969},15200249
120,{CCA526FF-6478-4BC5-A4E8-359AE6F427F2},15200431
121,{ED6EFAD2-BFD9-489D-B0E4-2B3898E2A0F4},15200312
124,{2EBFD589-85CD-4504-A429-9E7531D3A07B},15200345
125,{20287A10-1028-46C7-A8F3-B3404D3E0A70},15200366
126,{055FEDC0-B8BF-4324-B009-6180689323BC},15200416
127,{D8E86AF4-2052-4B6B-9D46-316A2CCD91B0},15200184
128,{3F308452-9E90-4D75-BECB-D9DAC7DE980E},15200254
129,{2EB69935-4906-4D3F-B182-AB3E8A2F4054},15200332
130,{19FC515A-C0FA-42C0-9DCF-372286B76D99},15200338
131,{F31336EB-68BE-4628-ACD7-3CE01A4435CF},15200083
132,{E3C86AD5-6F54-4CBF-8BB4-7D9B23B36A92},15200386
133,{EAC82EBB-05D4-4D1D-9C16-36E682E537F0},15200119
140,{15EFF564-E1B4-4CA0-A15F-45CFF0BA198C},15200148
141,{FB6E47EE-6468-401C-9A89-474E173E8A73},15200331
143,{D805E554-6B46-4F4E-8E88-2F833AB310BD},15200429
144,{5B7E77AB-D674-4878-975D-A117B9871704},15200307
145,{323CAEBC-FE9C-4E6E-BE0B-7C6D6F00C136},15200136
146,{FC2F98CB-D988-49C4-A3FA-6F5F01D9D330},15200255
147,{FD6290E1-7F55-458A-9923-D138CB97BFBE},15200343
151,{B5C742CD-36E2-4014-82C0-4FCB62D7D3A1},15200311
152,{339AA517-118F-4F09-9A58-689E500FB0B0},15200308
228,{F3D8E9BE-940A-4B1D-804A-CCC65E74E56D},15200032
229,{193290EA-6926-4CC2-B7AD-3A7BA2073AAD},15200013
230,{2405798F-2CB0-474B-BF6F-B4DA6BA4835F},15200153
231,{B71AE56E-6A81-4E09-95DA-99329F02DE6E},15200067
232,{E92E33F1-BB97-4742-990D-2337683C9D13},15200110
233,{8CD486FB-5F47-400B-B9C1-8988B78EBEE2},15200106
235,{004B86C9-9868-42A7-B25B-66E00DB6E6F3},15200085
237,{F640736C-232E-4E5B-99C8-12BEC449BDD9},15200142
238,{BCE07A9F-0FCD-442F-AF9F-031F51D9BB14},15200141
239,{4D6A1ECC-64CB-4EC7-A881-3DA3F8E13B58},15200103
243,{CD4173B5-8D71-42A0-ACEE-53410887FF28},15200135
244,{F30D694D-9339-482D-B8BE-1733A473E144},15200425
1,{2C36985C-E0E9-4AC7-B379-4B3BD1B5E053},15200397
26,{A62F9B3F-D2CE-4707-89D0-244267E2E235},15200065
56,{982AFE0A-A29D-455D-881A-F7CD007466ED},15200365
69,{007933C7-13D1-46BC-8338-6B38AD8A610E},15200274
80,{322EFB57-4956-4C61-AF3E-708E5C94D719},15200336
95,{56E37327-6796-4DA5-BBBC-865C3D4B49FD},15200380
109,{A0E44BD1-059C-4778-BE3F-29C657C440F9},15200126
123,{4B3ED2D0-6F0E-44FE-832D-CD5BB4383E70},15200012
135,{22815736-A560-4501-BC69-2172A0A1EB0D},15200248
148,{D3D22673-CCFA-4BAA-97AF-7B7725E0D7D1},15200217
153,{E0CB126D-DB56-4B40-8D80-5C5A166272BA},15200062
167,{6F53A338-15FD-4FDE-BD21-AB53D1553ABA},15200133
181,{09E510A4-3C66-4F2A-9D76-A2412675DEC8},15200064
196,{81491E6F-B59C-4D46-842F-4595BF252ABC},15200041
210,{1C986D43-28FB-4AFB-8D63-885D7EABD120},15200001
227,{508D2293-07D4-46E3-A04F-9467D7CC64C2},15200179
10,{727155F4-62D1-4C05-8866-252EA9D883CF},15200188
28,{4446DC1D-B47E-4055-A9E8-07E5C966E547},15200034
46,{A8F6AFA7-CE0C-410A-9A72-C1074A3FD017},15200144
62,{91DCEE8B-FD61-4B3A-96FC-011259975D77},15200209
84,{029482A2-0B23-449E-9EBD-E12708B13BDE},15200194
100,{A9D00469-D542-47A2-864B-24AC9690760C},15200178
