OBJECTID,GEOL_CODE,GERMAN,PARENT_REF,TREE_LEVEL,GEOL_CODE_INT
1,Vlit401001,Lockergestein,,1,15101001
112,Vlit402012,Dolomitsandstein,15102009.0,4,15102012
310,Vlit404421,Metaessexit,15104095.0,4,15104421
319,Vlit404430,Metalamprophyr,15104095.0,4,15104430
206,Vlit403016,Norit,15103005.0,4,15103016
332,Vlit404444,metamorph überprägtes pyroklastisches Gestein,15104095.0,4,15104444
381,Vlit404061,Bänderamphibolit,15104041.0,4,15104061
404,Vlit404089,Chloritit,15104084.0,3,15104089
393,Vlit404076,Metatexit mit Fleckentextur,15104074.0,4,15104076
293,Vlit404404,Metaalkalogranit,15104095.0,4,15104404
224,Vlit403035,Dolerit,15103026.0,4,15103035
276,Vlit404206,"Quarzit, sedimentärer Protolith erkennbar",15104093.0,4,15104206
286,Vlit404216,dolomitischer Marmor,15104093.0,4,15104216
242,Vlit403057,Kristalltuff,15103053.0,4,15103057
76,Vlit401071,Auffüllung,15101069.0,4,15101071
37,Vlit401053,"Torfmoor, Torf",15101050.0,3,15101053
13,Vlit401009,Hangschutt,15101003.0,3,15101009
28,Vlit401049,detritische Verlandungsbildung,15101044.0,3,15101049
61,Vlit401030,randglazialer Schotter,15101028.0,4,15101030
178,Vlit402102,Lithothamniensandstein,15102009.0,4,15102102
154,Vlit402063,"phosphoritreiches Gestein, undifferenziert",15102032.0,4,15102063
91,Vlit402032,"biogenes / biochemisches / organisches Sedimentgestein, undifferenziert",15102001.0,2,15102032
157,Vlit402066,phosphoritreicher Mergelstein,15102063.0,4,15102066
326,Vlit404437,Metaquarzandesit,15104095.0,4,15104437
374,Vlit404054,Kalksilikatfels,15104053.0,4,15104054
116,Vlit402016,Arkose,15102009.0,4,15102016
70,Vlit401041,Bachschutt,15101039.0,4,15101041
122,Vlit402022,Muschelsandstein,15102009.0,4,15102022
137,Vlit402041,Kalkbrekzie,15102034.0,4,15102041
383,Vlit404063,Amphibolitgneis,15104041.0,4,15104063
21,Vlit401026,"fluviatiles Sediment, undifferenziert",15101001.0,2,15101026
238,Vlit403053,"pyroklastisches Gestein, undifferenziert",15103036.0,3,15103053
74,Vlit401069,"künstliche Ablagerung, undifferenziert",15101067.0,3,15101069
158,Vlit402070,"Evaporit, undifferenziert",15102068.0,3,15102070
385,Vlit404065,Peridotit,15104053.0,4,15104065
75,Vlit401070,"Aufschüttung, Damm",15101069.0,4,15101070
366,Vlit404045,Zweiglimmergneis,15104041.0,4,15104045
282,Vlit404212,Metasiltstein,15104093.0,4,15104212
394,Vlit404077,Metatexit mit stromatitischer Textur,15104074.0,4,15104077
245,Vlit403061,tuffitische Brekzie,15103060.0,4,15103061
173,Vlit402092,"pedogenes Karbonat, undifferenziert",15102080.0,3,15102092
216,Vlit403027,Mikrogranit,15103026.0,4,15103027
32,Vlit401058,Seebodensediment,15101044.0,3,15101058
17,Vlit401016,"zerrüttete Gesteinsmasse, ""Sackungsmasse""",15101003.0,3,15101016
65,Vlit401034,Stauschotter,15101028.0,4,15101034
211,Vlit403021,"Peridotit, Tiefengestein",15103005.0,4,15103021
106,Vlit402005,"Konglomerat und Brekzie, undifferenziert",15102003.0,4,15102005
358,Vlit404036,Glaukophanschiefer,15104031.0,4,15104036
201,Vlit403011,Diorit,15103005.0,4,15103011
208,Vlit403018,Monzogabbro,15103005.0,4,15103018
281,Vlit404211,Metapelit,15104093.0,4,15104211
290,Vlit404401,Metamagmatit,15104095.0,4,15104401
33,Vlit401059,Seekreide,15101044.0,3,15101059
227,Vlit403041,Rhyolith,15103039.0,4,15103041
364,Vlit404043,Bändergneis,15104041.0,4,15104043
382,Vlit404062,Schollenamphibolit,15104053.0,4,15104062
256,Vlit404003,"Gestein der Störungszone, undifferenziert",15104002.0,3,15104003
