OBJECTID,GEOL_CODE_INT,PARENT_REF,GEOL_CODE,GERMAN,TREE_LEVEL
212,15200001,15200012.0,Vlit500001,Twannbach-Formation,3.0
217,15200002,15200012.0,Vlit500002,Reuchenette-Formation,3.0
234,15200003,15200160.0,Vlit500003,Courgenay-Formation,4.0
252,15200004,15200573.0,Vlit500004,Vellerat-Formation,5.0
261,15200005,15200012.0,Vlit500005,St-Ursanne-Formation,3.0
273,15200006,15200012.0,Vlit500006,Bärschwil-Formation,3.0
278,15200007,15200055.0,Vlit500007,Ifenthal-Formation,3.0
291,15200008,15200055.0,Vlit500008,Hauptrogenstein,3.0
316,15200009,15200055.0,Vlit500009,Passwang-Formation,3.0
327,15200010,15200055.0,Vlit500010,Opalinus-Ton,3.0
329,15200011,15200056.0,Vlit500011,Staffelegg-Formation,3.0
211,15200012,15200162.0,Vlit500012,Malm des Juragebirges,2.0
214,15200013,15200001.0,Vlit500013,Vouglans-Member,4.0
215,15200014,15200001.0,Vlit500014,Chailley-Member,4.0
216,15200015,15200001.0,Vlit500015,Oberer Virgula-Mergel,4.0
219,15200016,15200187.0,Vlit500016,Grenznerineen-Bank,5.0
220,15200017,15200187.0,Vlit500017,Cladocoropsis-Kalk,5.0
221,15200018,15200187.0,Vlit500018,Unterer Virgula-Mergel,5.0
223,15200019,15200002.0,Vlit500019,Courtedoux-Member,4.0
224,15200020,15200002.0,Vlit500020,Banné-Member,4.0
225,15200021,15200002.0,Vlit500021,Vabenau-Member,4.0
226,15200022,15200021.0,Vlit500022,Creugenat-Schichten,5.0
227,15200023,15200012.0,Vlit500023,Etiollets-Formation,3.0
228,15200024,15200023.0,Vlit500024,Complexe récifal,4.0
229,15200025,15200023.0,Vlit500025,Couvaloup-Member,4.0
235,15200026,15200003.0,Vlit500026,Porrentruy-Member,5.0
236,15200027,15200003.0,Vlit500027,La-May-Member,5.0
254,15200028,15200004.0,Vlit500028,Oolithe-Rousse-Member,6.0
253,15200029,15200004.0,Vlit500029,Bure-Member,6.0
255,15200030,15200004.0,Vlit500030,Hauptmumienbank-Member,6.0
256,15200031,15200004.0,Vlit500031,Röschenz-Member,6.0
258,15200032,15200004.0,Vlit500032,Vorbourg-Member,6.0
262,15200033,15200005.0,Vlit500033,Tiergarten-Member,4.0
263,15200034,15200005.0,Vlit500034,Buix-Member,4.0
264,15200035,15200005.0,Vlit500035,Chestel-Member,4.0
265,15200036,15200035.0,Vlit500036,Caquerelle-Pisolith,5.0
266,15200037,15200005.0,Vlit500037,Grellingen-Member,4.0
267,15200039,15200012.0,Vlit500039,Pichoux-Formation,3.0
274,15200040,15200006.0,Vlit500040,Liesberg-Member,4.0
275,15200041,15200006.0,Vlit500041,Sornetan-Member,4.0
276,15200042,15200006.0,Vlit500042,Renggeri-Member,4.0
279,15200043,15200007.0,Vlit500043,Graitery-Member,4.0
280,15200044,15200007.0,Vlit500044,Herznach-Member,4.0
281,15200045,15200044.0,Vlit500045,Schellenbrücke-Bank,5.0
282,15200046,15200007.0,Vlit500046,Bollement-Member,4.0
283,15200047,15200007.0,Vlit500047,Ängistein-Member,4.0
284,15200048,15200047.0,Vlit500048,Unter-Erli-Bank,5.0
285,15200049,15200007.0,Vlit500049,Bözen-Member,4.0
286,15200050,15200007.0,Vlit500050,Saulcy-Member,4.0
289,15200051,15200007.0,Vlit500051,Schelmenloch-Member,4.0
290,15200052,15200051.0,Vlit500052,Anwil-Bank,5.0
287,15200053,15200007.0,Vlit500053,Châtillon-Member,4.0
288,15200054,15200007.0,Vlit500054,St-Brais-Member,4.0
277,15200055,15200162.0,Vlit500055,Dogger des Juragebirges,2.0
328,15200056,15200162.0,Vlit500056,Lias des Juragebirges,2.0
293,15200057,15200380.0,Vlit500057,Spatkalk,5.0
294,15200058,15200380.0,Vlit500058,Pierre-Blanche,5.0
296,15200059,15200380.0,Vlit500059,Movelier-Schichten,5.0
297,15200060,15200380.0,Vlit500060,Obere Oolithische Serie (Grande Oolithe),5.0
302,15200061,15200380.0,Vlit500061,Obere Acuminata-Schichten,5.0
305,15200062,15200382.0,Vlit500062,Untere Oolithische Serie (Oolithe Subcompacte),5.0
309,15200063,15200009.0,Vlit500063,Grenchenberg-Member,4.0
319,15200064,15200009.0,Vlit500064,Rothenfluh-Member,4.0
320,15200065,15200009.0,Vlit500065,Brüggli-Member,4.0
321,15200066,15200065.0,Vlit500066,Humphriesi-Schichten,5.0
322,15200067,15200009.0,Vlit500067,Waldenburg-Member,4.0
323,15200068,15200009.0,Vlit500068,Hirnichopf-Member,4.0
324,15200069,15200009.0,Vlit500069,Hauenstein-Member,4.0
325,15200070,15200009.0,Vlit500070,Sissach-Member,4.0
330,15200071,15200011.0,Vlit500071,Gross-Wolf-Member,4.0
331,15200072,15200071.0,Vlit500072,Eriwis-Bank,5.0
332,15200073,15200071.0,Vlit500073,Erlimoos-Bank,5.0
333,15200074,15200071.0,Vlit500074,Gipf-Bank,5.0
334,15200075,15200011.0,Vlit500075,Rietheim-Member,4.0
335,15200076,15200075.0,Vlit500076,Unterer Stein,5.0
336,15200077,15200011.0,Vlit500077,Rickenbach-Member,4.0
338,15200078,15200011.0,Vlit500078,Müsenegg-Bank,4.0
337,15200079,15200011.0,Vlit500079,Breitenmatt-Member,4.0
339,15200080,15200079.0,Vlit500080,Trasadingen-Bank,5.0
340,15200081,15200011.0,Vlit500081,Grünschholz-Member,4.0
341,15200082,15200011.0,Vlit500082,Frick-Member,4.0
343,15200083,15200011.0,Vlit500083,Mont-Terri-Member,4.0
342,15200084,15200011.0,Vlit500084,Fasiswald-Member,4.0
344,15200085,15200011.0,Vlit500085,Weissenstein-Member,4.0
345,15200086,15200011.0,Vlit500086,Beggingen-Member,4.0
346,15200087,15200086.0,Vlit500087,Gächlingen-Bank,5.0
347,15200088,15200086.0,Vlit500088,Schleitheim-Bank,5.0
348,15200089,15200011.0,Vlit500089,Schambelen-Member,4.0
349,15200090,15200089.0,Vlit500090,Hallau-Bank,5.0
168,15200091,0.0,Vlit500091,Siderolithikum des Juragebirges,1.0
190,15200092,15200161.0,Vlit500092,"Gorges-de-l'Orbe- und Vallorbe-Formation, undifferenziert",2.0
191,15200093,15200650.0,Vlit500093,Vallorbe-Member,4.0
192,15200094,15200093.0,Vlit500094,Rivière-Member,4.0
193,15200095,15200093.0,Vlit500095,Russille-Member,4.0
194,15200096,15200092.0,Vlit500096,Gorges-de-l'Orbe-Formation,3.0
204,15200097,15200161.0,Vlit500097,"Pierre-Châtel-, Vions- und Chambotte-Formation, undifferenziert",2.0
205,15200098,15200097.0,Vlit500098,Chambotte-Formation,3.0
206,15200099,15200098.0,Vlit500099,Guiers-Member,4.0
207,15200100,15200097.0,Vlit500100,Vions-Formation,3.0
208,15200101,15200097.0,Vlit500101,Pierre-Châtel-Formation,3.0
230,15200102,15200012.0,Vlit500102,Burghorn-Formation,3.0
231,15200103,15200102.0,Vlit500103,Wettigen-Member,4.0
232,15200104,15200102.0,Vlit500104,Baden-Member,4.0
243,15200105,15200160.0,Vlit500105,Villigen-Formation,4.0
244,15200106,15200105.0,Vlit500106,Wangental-Member,5.0
245,15200107,15200105.0,Vlit500107,Letzi-Member,5.0
246,15200108,15200107.0,Vlit500108,Knollen-Bank,6.0
247,15200109,15200105.0,Vlit500109,Küssaburg-Member,5.0
248,15200110,15200105.0,Vlit500110,Wangen-Member,5.0
249,15200111,15200105.0,Vlit500111,Hornbuck-Member,5.0
250,15200112,15200105.0,Vlit500112,Crenularis-Member,5.0
251,15200113,15200105.0,Vlit500113,Geissberg-Member,5.0
268,15200114,15200012.0,Vlit500114,Wildegg-Formation,3.0
269,15200115,15200114.0,Vlit500115,Effingen-Member,4.0
270,15200116,15200115.0,Vlit500116,Gerstenhübel-Bank,5.0
272,15200117,15200114.0,Vlit500117,Birmenstorf-Member,4.0
259,15200118,15200573.0,Vlit500118,Günsberg-Formation,5.0
260,15200119,15200118.0,Vlit500119,Moutier-Korallenkalk,6.0
310,15200120,15200055.0,Vlit500120,Klingnau-Formation,3.0
311,15200121,15200120.0,Vlit500121,Knorri-Ton,4.0
312,15200122,15200120.0,Vlit500122,Wuerttembergica-Schichten,4.0
314,15200123,15200202.0,Vlit500123,Subfurcatum-Bank,5.0
315,15200124,15200120.0,Vlit500124,Blagdeni-Schichten,4.0
351,15200125,15200163.0,Vlit500125,Keuper,2.0
352,15200126,15200125.0,Vlit500126,Klettgau-Formation,3.0
353,15200127,15200126.0,Vlit500127,Belchen-Member,4.0
359,15200128,15200125.0,Vlit500128,Bänkerjoch-Formation,3.0
360,15200129,15200163.0,Vlit500129,Muschelkalk,2.0
361,15200130,15200129.0,Vlit500130,Schinznach-Formation,3.0
362,15200131,15200130.0,Vlit500131,Asp-Member,4.0
363,15200132,15200130.0,Vlit500132,Stamberg-Member,4.0
365,15200133,15200130.0,Vlit500133,Liedertswil-Member,4.0
368,15200134,15200130.0,Vlit500134,Kienberg-Member,4.0
371,15200135,15200129.0,Vlit500135,Zeglingen-Formation,3.0
373,15200136,15200135.0,Vlit500136,Obere Sufatzone,4.0
374,15200137,15200135.0,Vlit500137,Salzlager,4.0
375,15200138,15200135.0,Vlit500138,Untere Sulfatzone,4.0
376,15200139,15200129.0,Vlit500139,Kaiseraugst-Formation,3.0
377,15200140,15200139.0,Vlit500140,Orbicularis-Mergel,4.0
378,15200141,15200139.0,Vlit500141,Wellenkalk / Wellenmergel,4.0
379,15200142,15200139.0,Vlit500142,Wellendolomit,4.0
380,15200143,15200163.0,Vlit500143,Buntsandstein,2.0
381,15200144,15200143.0,Vlit500144,Dinkelberg-Formation,3.0
382,15200145,15200144.0,Vlit500145,Rhötton,4.0
383,15200146,15200144.0,Vlit500146,Plattensandstein,4.0
384,15200147,15200144.0,Vlit500147,Karneol-Horizont,4.0
177,15200148,15200161.0,Vlit500148,Narlay-Formation,2.0
178,15200149,15200161.0,Vlit500149,Perte-du-Rhône-Formation,2.0
195,15200150,15200161.0,Vlit500150,Grand-Essert-Formation,2.0
196,15200151,15200150.0,Vlit500151,Pierre Jaune de Neuchâtel,3.0
198,15200152,15200150.0,Vlit500152,Hauterive-Mergel,3.0
201,15200153,15200161.0,Vlit500153,Vuache-Formation,2.0
