GeolCodeInt,DE,FR,IT,EN
15001001,Phanerozoikum,Phanérozoïque,Fanerozoico,Phanerozoic
15001002,Känozoikum,Cénozoïque,Cenozoico,Cenozoic
15001003,Quartär,Quaternaire,Quaternario,Quaternary
15001004,Holozän,Holocène,Olocene,Holocene
15001005,Pleistozän,Pléistocène,Pleistocene,Pleistocene
15001006,Spätes Pleistozän,Pléistocène tardif,Pleistocene tardivo,Late Pleistocene
15001007,Mittleres Pleistozän,Pléistocène moyen,Pleistocene medio,Middle Pleistocene
15001151,Chibanien,Chibaniensis,Chibaniano,Chibanian
15001009,Frühes Pleistozän,Pléistocène précoce,Pleistocene precoce,Early Pleistocene
15001010,Calabrien,Calabrien,Calabriano,Calabrian
15001011,Gélasien,Gélasien,Gelasiano,Gelasian
15001013,Neogen,Néogène,Neogene,Neogene
15001014,Pliozän,Pliocène,Pliocene,Pliocene
15001015,Plaisancien,Plaisancien,Plaisenziano,Piacenzian
15001016,Zancléen,Zancléen,Zancleano,Zanclean
15001017,Miozän,Miocène,Miocene,Miocene
15001018,Spätes Miozän,Miocène tardif,Miocene tardivo,Late Miocene
15001019,Messinien,Messinien,Messiniano,Messinian
15001020,Tortonien,Tortonien,Tortoniano,Tortonian
15001021,Mittleres Miozän,Miocène moyen,Miocene medio,Middle Miocene
15001022,Serravallien,Serravallien,Serravalliano,Serravallian
15001023,Langhien,Langhien,Langhiano,Langhian
15001024,Frühes Miozän,Miocène précoce,Miocene precoce,Early Miocene
15001025,Burdigalien,Burdigalien,Burdigaliano,Burdigalian
15001026,spätes Burdigalien,Burdigalien tardif,Burdigaliano tardivo,late Burdigalian
15001027,frühes Burdigalien,Burdigalien précoce,Burdigaliano precoce,early Burdigalian
15001028,Aquitanien,Aquitanien,Aquitaniano,Aquitanian
15001029,Paläogen,Paléogène,Paleogene,Paleogene
15001030,Oligozän,Oligocène,Oligocene,Oligocene
15001031,Chattien,Chattien,Chattiano,Chattian
15001032,spätes Chattien,Chattien tardif,Chattiano tardivo,late Chattian
15001033,frühes Chattien,Chattien précoce,Chattiano precoce,early Chattian
15001034,Rupélien,Rupélien,Rupeliano,Rupelian
15001035,Eozän,Éocène,Eocene,Eocene
15001036,spätes Eozän,Éocène tardif,Eocene tardivo,late Eocene
15001037,Priabonien,Priabonien,Priaboniano,Priabonian
15001038,spätes Priabonien,Priabonien tardif,Priaboniano tardivo,late Priabonian
15001039,frühes Priabonien,Priabonien précoce,Priaboniano precoce,early Priabonian
15001040,mittleres Eozän,Éocène moyen,Eocene medio,middle Eocene
15001041,Bartonien,Bartonien,Bartoniano,Bartonian
15001042,Lutétien,Lutétien,Lutetiano,Lutetian
15001043,frühes Eozän,Éocène précoce,Eocene precoce,early Eocene
15001044,Yprésien,Yprésien,Ypresiano,Ypresian
15001045,Paleozän,Paléocène,Paleocene,Paleocene
15001046,Thanétien,Thanétien,Tanetiano,Thanetian
15001047,Sélandien,Sélandien,Selandiano,Selandian
15001048,Danien,Danien,Daniano,Danian
15001049,Mesozoikum,Mésozoïque,Mesozoico,Mesozoic
15001050,Kreide,Crétacé,Cretaceo,Cretaceous
15001051,Späte Kreide,Crétacé tardif,Cretaceo tardivo,Late Cretaceous
15001052,Maastrichtien,Maastrichtien,Maastrichtiano,Maastrichtian
15001053,Campanien,Campanien,Campaniano,Campanian
15001054,Santonien,Santonien,Santoniano,Santonian
15001055,Coniacien,Coniacien,Coniaciano,Coniacian
15001056,Turonien,Turonien,Turoniano,Turonian
15001057,Cénomanien,Cénomanien,Cenomaniano,Cenomanian
15001058,Frühe Kreide,Crétacé précoce,Cretaceo precoce,Early Cretaceous
15001059,Albien,Albien,Albiano,Albian
15001060,Aptien,Aptien,Aptiano,Aptian
15001061,Barrémien,Barrémien,Barremiano,Barremian
15001062,Hauterivien,Hauterivien,Hauteriviano,Hauterivian
15001063,Valanginien,Valanginien,Valanginiano,Valanginian
15001064,Berriasien,Berriasien,Berriasiano,Berriasian
15001065,Jura,Jurassique,Giurassico,Jurassic
15001066,Später Jura,Jurassique tardif,Giurassico tardivo,Late Jurassic
15001067,Tithonien,Tithonien,Titoniano,Tithonian
15001068,Kimméridgien,Kimméridgien,Kimmeridgiano,Kimmeridgian
15001069,Oxfordien,Oxfordien,Oxfordiano,Oxfordian
15001070,Mittlerer Jura,Jurassique moyen,Giurassico medio,Middle Jurassic
15001071,Callovien,Callovien,Calloviano,Callovian
15001072,Bathonien,Bathonien,Batoniano,Bathonian
15001073,Bajocien,Bajocien,Bajociano,Bajocian
15001074,Aalénien,Aalénien,Aaleniano,Aalenian
15001075,Früher Jura,Jurassique précoce,Giurassico precoce,Early Jurassic
15001076,Toarcien,Toarcien,Toarciano,Toarcian
15001077,Pliensbachien,Pliensbachien,Pliensbachiano,Pliensbachian
15001155,Domérien,Domérien,Domeriano,Domerian
15001156,Carixien,Carixien,Carixiano,Carixian
15001078,Sinémurien,Sinémurien,Sinemuriano,Sinemurian
15001079,Hettangien,Hettangien,Hettangiano,Hettangian
15001080,Trias,Trias,Triassico,Triassic
15001081,Späte Trias,Trias tardif,Triassico tardivo,Late Triassic
15001082,Rhät,Rhétien,Retico,Rhaetian
15001083,Norien,Norien,Norico,Norian
15001084,Carnien,Carnien,Carnico,Carnian
15001085,Mittlere Trias,Trias moyen,Triassico medio,Middle Triassic
15001086,Ladinien,Ladinien,Ladinico,Ladinian
15001087,Anisien,Anisien,Anisico,Anisian
15001088,Frühe Trias,Trias précoce,Triassico precoce,Early Triassic
15001089,Olénékien,Olénékien,Olenekiano,Olenekian
15001090,Indusien,Indusien,Indusiano,Induan
15001091,Paläozoikum,Paléozoïque,Paleozoico,Paleozoic
15001092,spätes Paläozoikum,Paléozoïque tardif,Paleozoico tardivo,late Paleozoic
15001093,Perm,Permien,Permiano,Permian
15001095,Lopingien,Lopingien,Lopingiano,Lopingian
15001096,Changhsingien,Changhsingien,Changhsingiano,Changhsingian
15001098,Wuchiapingien,Wuchiapingien,Wuchiapingiano,Wuchiapingian
15001101,Guadalupien,Guadalupien,Guadalupiano,Guadalupian
15001102,Capitanien,Capitanien,Capitaniano,Capitanian
15001106,Wordien,Wordien,Wordiano,Wordian
15001108,Roadien,Roadien,Roadiano,Roadian
15001110,Cisuralien,Cisuralien,Cisuraliano,Cisuralian
15001111,Kungurien,Kungurien,Kunguriano,Kungurian
15001113,Artinskien,Artinskien,Artinskiano,Artinskian
15001115,Sakmarien,Sakmarien,Sakmariano,Sakmarian
15001117,Asselien,Assélien,Asseliano,Asselian
15001119,Karbon,Carbonifère,Carbonifero,Carboniferous
15001120,Pennsylvanien,Pennsylvanien,Pennsylvaniano,Pennsylvanian
15001121,Spätes Pennsylvanien,Pennsylvanien tardif,Pennsylvaniano tardivo,Late Pennsylvanian
15001137,Gzhélien,Gzhélien,Gzheliano,Gzhelian
15001138,Kasimovien,Kasimovien,Kasimoviano,Kasimovian
15001122,Mittleres Pennsylvanien,Pennsylvanien moyen,Pennsylvaniano medio,Middle Pennsylvanian
15001139,Moscovien,Moscovien,Moscoviano,Moscovian
15001123,Frühes Pennsylvanien,Pennsylvanien précoce,Pennsylvaniano precoce,Early Pennsylvanian
15001140,Bashkirien,Bashkirien,Bashkiriano,Bashkirian
