GeolCodeInt,DE,FR,EN,IT
15001001,Phanerozoikum,Phanérozoïque,Phanerozoic,Fanerozoico
15001002,Känozoikum,Cénozoïque,Cenozoic,Cenozoico
15001003,Quartär,Quaternaire,Quaternary,Quaternario
15001004,Holozän,Holocène,Holocene,Olocene
15001005,Pleistozän,Pléistocène,Pleistocene,Pleistocene
15001006,Spätes Pleistozän,Pléistocène tardif,Late Pleistocene,Pleistocene superiore
15001007,Mittleres Pleistozän,Pléistocène moyen,Middle Pleistocene,Pleistocene medio
15001151,Chibanien,Chibaniensis,Chibanian,Chibaniano
15001009,Frühes Pleistozän,Pléistocène précoce,Early Pleistocene,Pleistocene inferiore
15001010,Calabrien,Calabrien,Calabrian,Calabriano
15001011,Gélasien,Gélasien,Gelasian,Gelasiano
15001013,Neogen,Néogène,Neogene,Neogene
15001014,Pliozän,Pliocène,Pliocene,Pliocene
15001015,Plaisancien,Plaisancien,Piacenzian,Piacenziano
15001016,Zancléen,Zancléen,Zanclean,Zancleano
15001017,Miozän,Miocène,Miocene,Miocene
15001018,Spätes Miozän,Miocène tardif,Late Miocene,Miocene superiore
15001019,Messinien,Messinien,Messinian,Messiniano
15001020,Tortonien,Tortonien,Tortonian,Tortoniano
15001021,Mittleres Miozän,Miocène moyen,Middle Miocene,Miocene medio
15001022,Serravallien,Serravallien,Serravallian,Serravalliano
15001023,Langhien,Langhien,Langhian,Langhiano
15001024,Frühes Miozän,Miocène précoce,Early Miocene,Miocene inferiore
15001025,Burdigalien,Burdigalien,Burdigalian,Burdigaliano
15001026,spätes Burdigalien,Burdigalien tardif,Late Burdigalian,Burdigaliano superiore
15001027,frühes Burdigalien,Burdigalien précoce,Early Burdigalian,Burdigaliano inferiore
15001028,Aquitanien,Aquitanien,Aquitanian,Aquitaniano
15001029,Paläogen,Paléogène,Paleogene,Paleogene
15001030,Oligozän,Oligocène,Oligocene,Oligocene
15001031,Chattien,Chattien,Chattian,Chattiano
15001032,spätes Chattien,Chattien tardif,Late Chattian,Chattiano superiore
15001033,frühes Chattien,Chattien précoce,Early Chattian,Chattiano inferiore
15001034,Rupélien,Rupélien,Rupelian,Rupeliano
